,Code,Framework density,Topological density,Channel dimensionality,Max inclusion diameter,Max diffusion diameter a,Max diffusion diameter b,Max diffusion diameter c,Accessible volume (%)
202,STW,16.4,812.0,3.0,5.43,3.38,3.38,4.88,13.93
203,SVR,17.2,874.0,3.0,5.85,4.65,4.65,4.65,10.75
204,SVV,18.0,852.0,0.0,6.41,1.94,1.62,1.94,0.0
205,SWY,-1.0,738.0,3.0,7.06,3.43,3.43,3.43,15.07
206,SZR,17.6,910.0,3.0,6.27,3.32,3.32,4.69,9.33
207,TER,17.0,872.0,2.0,6.94,5.16,1.94,4.74,12.77
208,THO,15.7,784.0,3.0,5.15,3.26,3.0,3.69,9.94
209,TOL,17.9,816.0,0.0,6.37,2.36,2.36,2.06,0.0
210,TON,18.1,1006.0,1.0,5.71,2.31,1.56,5.11,8.04
211,TSC,13.2,590.0,3.0,16.45,4.08,4.08,4.08,27.85
212,TUN,17.6,929.0,3.0,8.46,4.9,5.39,4.9,12.93
213,UEI,17.5,832.0,2.0,5.6,1.9,3.77,3.15,6.53
214,UFI,15.2,747.0,2.0,10.09,3.89,3.89,1.88,19.74
215,UOS,17.6,873.0,3.0,5.85,2.6,4.24,3.05,9.02
216,UOV,16.2,811.0,3.0,6.98,6.44,5.38,5.03,17.13
217,UOZ,19.5,776.0,0.0,5.43,1.49,1.49,1.32,0.0
218,USI,15.9,691.0,2.0,6.76,1.73,4.04,6.28,17.47
219,UTL,15.6,826.0,2.0,9.3,1.38,5.77,7.61,21.88
220,UWY,16.3,838.0,3.0,8.78,4.96,5.45,6.11,16.18
221,VET,20.2,1023.0,1.0,6.39,1.51,1.51,5.98,7.82
222,VFI,14.5,669.0,1.0,12.03,2.4,2.4,11.39,25.4
223,VNI,17.6,971.0,3.0,4.8,3.16,3.16,2.53,4.66
224,VSV,16.8,948.0,3.0,4.31,3.77,3.77,2.9,6.43
225,WEI,16.5,773.0,3.0,4.19,3.43,3.43,3.46,7.82
226,WEN,16.6,755.0,3.0,5.53,4.84,4.84,3.16,11.58
227,YFI,16.4,857.0,3.0,7.97,6.18,6.18,3.6,15.37
228,YUG,18.0,935.0,2.0,4.49,3.08,1.44,3.12,5.7
229,ZON,18.0,798.0,2.0,5.83,2.63,3.52,1.58,8.07
230,BEA,15.3,805.0,3.0,6.68,5.95,5.95,5.95,20.52
231,CTH,16.2,859.0,2.0,8.14,7.45,3.92,2.22,17.22
232,EWT,14.5,692.0,3.0,7.75,4.29,4.29,6.22,21.95
233,ITN,16.0,842.0,3.0,6.95,4.86,4.54,4.7,16.74
234,MRE,19.7,1003.0,1.0,6.36,5.59,2.0,1.81,6.55
235,SFV,17.6,932.0,3.0,7.67,5.3,5.3,4.84,12.3
236,SSO,16.7,768.0,1.0,6.79,1.65,4.89,1.58,13.11
237,STO,18.7,924.0,1.0,6.8,1.72,6.09,2.07,9.94
238,SVY,-1.0,794.0,2.0,8.44,4.9,4.9,2.6,16.26
