,Zeolite,Meta-learning T_max,Meta-learning Delta_n,Langmuir T_max,Langmuir Delta_n,Sips T_max,Sips Delta_n,Quadratic T_max,Quadratic Delta_n,DSL T_max,DSL Delta_n
0,ABW-0,97.21250000000074,12.197419861472035,96.90000000000074,13.012926227131866,96.40000000000073,12.54237681846228,96.40000000000073,12.389849009319214,96.70000000000073,12.422468928505001
1,ACO-0,121.46250000000109,9.577309408767977,119.00000000000105,9.912312609779333,119.30000000000106,10.157649702488825,120.80000000000108,9.9409306787207,121.60000000000109,9.462845365831138
2,AEI-0,97.16250000000072,9.129279552912779,95.60000000000072,11.626611337964256,89.70000000000064,10.354937041444526,104.80000000000085,8.884567515052229,103.60000000000083,9.6063416210963
3,AEL-0,103.05000000000082,5.366009645264242,102.80000000000082,6.6356585698028026,96.30000000000072,5.835078653851775,85.00000000000057,5.484107923466461,84.60000000000056,5.374255829627636
4,AEN-0,101.73750000000081,7.463668157590415,101.30000000000081,8.678194661684827,99.20000000000077,7.9830520109430925,102.20000000000081,7.25361465564516,106.00000000000087,7.713805799181282
5,AET-0,84.31250000000057,6.942905990290595,86.60000000000059,7.796156011567383,82.70000000000053,7.406144940681012,79.8000000000005,6.957929286697758,89.80000000000064,7.017030676078427
6,AFG-0,104.21250000000084,7.1731862668192825,100.70000000000078,9.57088782128014,94.2000000000007,8.219580256977661,70.90000000000038,7.5404348386369815,100.60000000000079,9.582490351719837
7,AFI-0,87.13750000000061,7.232490962605232,89.80000000000064,8.568130453300107,84.50000000000057,7.962302258692694,66.4000000000003,7.143284325805425,95.50000000000071,7.3790993041026045
8,AFN-0,98.37500000000077,7.3118000192794534,98.70000000000076,8.96672154628832,94.80000000000071,7.991472106908697,94.4000000000007,7.297437913804996,103.40000000000083,7.432879307249991
9,AFO-0,101.9375000000008,5.411401973746066,102.40000000000082,6.604402023799019,96.30000000000072,5.841569361249236,87.5000000000006,5.512693515465058,88.20000000000061,5.445245903325732
10,AFR-0,92.47500000000069,9.682374410401827,92.00000000000067,12.437888671484462,85.30000000000058,11.110582088348878,102.40000000000082,9.50115438128193,101.6000000000008,9.811816748167821
11,AFS-0,92.40000000000069,10.143000962193266,91.00000000000065,12.099688883627643,86.8000000000006,11.158654752923875,96.30000000000072,9.605173048535612,97.60000000000075,10.309026956033756
12,AFT-0,92.06250000000068,9.31097971838102,93.00000000000068,11.934791941758895,86.8000000000006,10.615723196222214,101.0000000000008,9.138115191188898,100.60000000000079,9.888071921391468
13,AFV-0,97.76250000000076,8.478637147855142,96.10000000000073,11.046127960871212,89.00000000000063,9.616249167477953,70.50000000000037,8.567275635689885,70.70000000000036,8.60482144317095
14,AFX-0,89.00000000000063,9.222872438330647,91.80000000000067,12.154967864316275,84.10000000000056,10.739928517090158,100.40000000000079,10.022941543251633,100.30000000000078,9.949383630555982
15,AFY-0,100.3125000000008,11.143182256432985,98.60000000000076,13.170009900748127,95.80000000000072,12.204569097315098,103.60000000000083,10.672632953341173,104.30000000000084,11.654709676505965
16,AHT-0,84.07500000000056,9.696953773431128,83.50000000000054,10.333793491618508,83.00000000000054,10.086239151165575,83.20000000000054,9.666659414152978,85.10000000000056,9.93485494726077
