,Zeolite,Meta-learning T_max,Meta-learning Delta_n,Langmuir T_max,Langmuir Delta_n,Sips T_max,Sips Delta_n,Quadratic T_max,Quadratic Delta_n,DSL T_max,DSL Delta_n
0,DVB0-Crosslink25-0,45.0,4.662567263882991,88.50000000000063,4.305619009430936,45.0,4.468768881928559,54.90000000000014,4.844904395336682,56.000000000000156,4.885806539166419
1,DVB0-Crosslink25-1,45.0,4.679510243051881,87.5000000000006,4.602540126488007,45.0,4.485400101464625,56.700000000000166,4.913548626535172,58.50000000000019,4.975301339016222
2,DVB0-Crosslink25-2,45.0,4.677174506777164,87.6000000000006,4.697297920879438,78.00000000000047,4.433871204991529,58.20000000000019,4.87813977845061,60.30000000000022,4.884449286189261
3,DVB0-Crosslink25-3,45.0,4.781465672123072,89.90000000000063,5.289897872781863,80.2000000000005,4.934367543697659,56.80000000000017,5.426242795566876,57.300000000000175,5.455164642172976
4,DVB0-Crosslink25-4,50.96250000000008,4.7406054198387615,94.1000000000007,5.130062069536397,83.70000000000056,4.7103881784246,104.30000000000084,4.134178498985213,104.20000000000084,4.149653945878234
5,DVB0-Crosslink50-0,90.92500000000065,5.644531862939055,98.40000000000076,7.579967424601318,89.60000000000063,6.644048915870757,111.30000000000095,5.765773697973261,98.10000000000076,7.610157161641924
6,DVB0-Crosslink50-1,93.51250000000068,6.662883737101575,95.20000000000071,8.77373374356267,87.6000000000006,7.758092751201704,106.10000000000088,6.676890763295584,94.90000000000072,8.804205188473109
7,DVB0-Crosslink50-2,90.40000000000065,6.6182564297412645,93.3000000000007,8.62785190320935,85.30000000000058,7.7262131918645025,104.30000000000084,6.653599599601668,103.70000000000084,6.774618961738184
8,DVB0-Crosslink50-3,87.11250000000061,5.614569256032438,95.90000000000072,7.364593670900971,87.5000000000006,6.536164632484711,107.40000000000089,5.652628339170078,106.40000000000087,5.831342334553039
9,DVB0-Crosslink50-4,88.95000000000063,6.264828545202607,94.1000000000007,8.198186125398824,85.80000000000058,7.3229864576904955,105.00000000000085,6.322920056718417,104.10000000000085,6.499894044551107
10,DVB0-Crosslink75-0,90.92500000000065,8.447488782335528,91.30000000000067,11.024687423855688,83.50000000000054,9.852981418864601,102.30000000000081,8.449017433792266,102.40000000000082,8.405957180506784
11,DVB0-Crosslink75-1,90.33750000000065,9.3943759508406,90.50000000000065,12.047866170538857,83.50000000000054,10.80943712641465,100.10000000000079,9.251083998973792,90.00000000000064,12.103056597670715
12,DVB0-Crosslink75-2,90.65000000000065,8.266769567755293,91.30000000000067,10.802041664273169,83.40000000000055,9.650710803957299,102.00000000000081,8.281854271854373,102.00000000000081,8.27661669250867
13,DVB0-Crosslink75-3,92.86250000000071,8.43895987336749,92.90000000000069,10.95766500760793,85.80000000000058,9.757604930743474,103.10000000000082,8.371233694965694,102.50000000000082,8.642447839097978
14,DVB0-Crosslink75-4,88.47500000000059,8.893380761215637,89.50000000000063,11.429655834244086,82.20000000000053,10.28930198532909,99.50000000000077,8.815181219362854,99.30000000000078,8.93054031097709
15,DVB0-Crosslink100-0,85.20000000000056,9.855856910612925,87.6000000000006,12.516573300060347,80.4000000000005,11.335851820503603,97.40000000000074,9.650981744910414,97.50000000000074,9.584943815342097
16,DVB0-Crosslink100-1,82.86250000000054,11.21465609668791,84.50000000000057,14.076215317927314,77.70000000000047,12.875998524580229,93.90000000000069,10.905827496342006,94.2000000000007,10.788370692768677
17,DVB0-Crosslink100-2,84.71250000000056,10.412516254385627,86.70000000000059,13.088648207006987,80.0000000000005,11.91350592072398,96.70000000000073,10.11349847715002,96.80000000000074,10.09779468593839
18,DVB0-Crosslink100-3,86.37500000000055,10.396549538508769,88.70000000000061,13.235160793729406,81.70000000000053,11.942020210190535,98.60000000000076,10.172749807059162,98.50000000000077,10.257234033558696
19,DVB0-Crosslink100-4,79.6875000000005,11.225479268221287,80.50000000000051,14.06813736135264,73.6000000000004,13.041654529083365,90.50000000000065,10.93349868549247,79.50000000000048,14.17191299398081
20,DVB10-Crosslink100-0,85.28750000000058,9.887893528137926,88.00000000000061,12.488971783316408,81.30000000000052,11.313346248668063,97.50000000000074,9.63428597079864,97.50000000000074,9.727917238346247
21,DVB10-Crosslink100-1,81.35000000000052,10.649410200357687,83.20000000000054,13.280394136290429,76.80000000000045,12.215816760390071,92.30000000000067,10.320254379040243,92.60000000000068,10.134220320476313
22,DVB10-Crosslink100-2,80.10000000000049,11.014581223012943,81.1000000000005,13.782769211962254,74.40000000000042,12.75344943418715,91.00000000000065,10.701627131308307,80.3000000000005,13.873643994436174
23,DVB10-Crosslink100-3,82.06250000000054,10.560066045410863,83.70000000000056,13.252768511371377,76.90000000000046,12.161021195975025,93.7000000000007,10.271166174962147,94.4000000000007,9.917858369737612
24,DVB10-Crosslink100-4,84.86250000000054,10.231734129107657,87.10000000000059,12.840772841705661,80.50000000000051,11.67819996053477,96.20000000000073,9.923885074289576,86.60000000000059,12.906398378358155
25,DVB20-Crosslink100-0,84.60000000000055,9.636285819190373,87.30000000000061,12.075397044072858,80.50000000000051,10.987309648339945,96.70000000000073,9.346951274086056,96.60000000000073,9.433088304056886
26,DVB20-Crosslink100-1,89.06250000000063,9.095095008772104,89.70000000000064,11.596371138734565,82.80000000000054,10.45230690806759,99.20000000000077,8.939325566698708,98.80000000000076,9.187552501762687
27,DVB20-Crosslink100-2,90.12500000000065,8.749461201032691,90.50000000000065,11.16804343952079,83.80000000000055,10.048359376392106,99.90000000000077,8.592922232137429,99.60000000000078,8.801949663299395
28,DVB20-Crosslink100-3,83.38750000000054,9.61557946188653,86.10000000000059,12.042026707478936,79.40000000000049,11.001907597817166,95.70000000000073,9.353382161381852,95.70000000000073,9.372818997624528
29,DVB20-Crosslink100-4,89.50000000000063,8.683381031812798,90.10000000000065,11.138952120256214,82.80000000000054,10.02964894145382,100.30000000000078,8.5795058153094,89.60000000000063,11.186694370277495
30,DVB30-Crosslink100-0,82.82500000000053,9.768607210987886,85.50000000000057,12.247555557009216,78.80000000000048,11.188693563905773,95.1000000000007,9.50124946975633,95.40000000000072,9.384443314533565
31,DVB30-Crosslink100-1,84.45000000000056,9.006011880628568,88.10000000000062,11.408364609300754,81.20000000000051,10.341146750359997,97.80000000000075,8.838018488994406,97.60000000000075,8.933092832040836
32,DVB30-Crosslink100-2,87.60000000000059,7.582204522590464,90.80000000000065,9.797739933727335,83.40000000000055,8.79217169949563,100.70000000000078,7.544832962118763,100.60000000000079,7.583147433323842
33,DVB30-Crosslink100-3,87.51250000000061,8.560737935303258,88.60000000000062,10.805491918326235,81.80000000000052,9.815620703875878,98.30000000000075,8.3734386250672,98.10000000000076,8.480650573659746
34,DVB30-Crosslink100-4,84.32500000000056,8.305478074149685,88.50000000000063,10.52359295695596,81.50000000000051,9.547761144770586,98.00000000000075,8.170653535359492,97.80000000000075,8.284618926158712
35,DVB40-Crosslink100-0,88.17500000000061,6.9017480955851305,92.40000000000067,8.983138085921865,84.40000000000056,8.050865721887043,103.10000000000082,6.953325026447628,102.50000000000082,7.0871828892993936
36,DVB40-Crosslink100-1,76.93750000000045,6.960689614176361,89.70000000000064,9.005182707948432,80.90000000000052,8.118131522593897,99.90000000000077,7.028355619893777,100.70000000000078,6.895105140768665
37,DVB40-Crosslink100-2,85.27500000000056,6.353950765942359,92.60000000000068,8.288593966258784,84.50000000000057,7.412118962489081,103.20000000000083,6.417663570026326,102.90000000000083,6.471154827384143
38,DVB40-Crosslink100-3,88.41250000000059,7.481000475159247,90.40000000000065,9.470187646586549,83.70000000000056,8.581383223132852,99.80000000000078,7.347002232445744,99.20000000000077,7.59316801588694
39,DVB40-Crosslink100-4,81.91250000000052,8.10912842245462,86.5000000000006,10.225577067737087,79.00000000000048,9.330540110748936,95.70000000000073,7.968480160954606,96.10000000000073,7.8395058371529505
40,DVB50-Crosslink100-0,77.61250000000045,6.547550557644585,90.30000000000064,8.422910481157496,81.60000000000052,7.604189306454628,100.40000000000079,6.581409408241867,100.70000000000078,6.5225284272066535
41,DVB50-Crosslink100-1,85.07500000000056,6.876429495675336,89.40000000000063,8.703915274344038,81.90000000000052,7.915355598490757,98.90000000000077,6.785807999092359,89.10000000000062,8.72831897539001
42,DVB50-Crosslink100-2,84.88750000000056,6.203440384075464,91.30000000000067,7.893501415402319,83.90000000000055,7.138013880032042,101.30000000000081,6.174896379061536,100.8000000000008,6.28432818392274
