,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,ABW-0,91.96250000000067,0.8014635050955361,15.54109978381732,0.23557797102935818,7.894692317752135,0.20506927501112554
1,ACO-0,113.88750000000097,2.0090031732180322,12.004675402807251,0.1880385132080344,5.8288405754667565,0.27185189219360123
2,AEI-0,88.10000000000062,1.5074813431681549,11.968094535624626,0.28792876783805765,3.9847339885600768,0.33252174744475865
3,AEL-0,96.20000000000073,2.4020824298928987,6.854545295677166,0.08107940488555014,-0.4589362339082911,0.20140701370489014
4,AEN-0,96.02500000000073,0.9640409742329561,9.58716376908999,0.12739963117609737,2.2640645671332233,0.14579776347496842
5,AET-0,78.70000000000047,4.365489663256634,8.7482350690105,0.25970181572710166,-0.21742202234165453,0.8236063600838166
6,AFG-0,95.97500000000072,1.3827056809025027,9.354081326751107,0.06863163750491721,2.026390126619952,0.13624430322630046
7,AFI-0,81.26250000000053,3.4853039680923614,9.270559627535869,0.29193435488560726,0.600515221151871,0.6923632163575331
8,AFN-0,92.55000000000068,1.9855729651665048,9.466343868702703,0.1386384204698429,1.8656546279290094,0.1314676313717941
9,AFO-0,95.05000000000072,2.4773978283675313,6.909434314223167,0.09906176843419372,-0.4929846095986684,0.20930959278349853
10,AFR-0,84.43750000000057,1.3471613674686693,12.758791318809337,0.2703528020478538,4.429472827392343,0.32823886573473854
11,AFS-0,83.71250000000055,1.5751488024945666,13.13765861204025,0.5691935826477669,4.735278087671277,0.704261698742645
12,AFT-0,83.98750000000054,1.4066249500133505,12.295688190404878,0.31671140804227765,3.9214789910415315,0.4168760183029827
13,AFV-0,88.76250000000061,1.1778555726403965,11.150629090265726,0.2479438881208846,3.227743908387402,0.27658840581292216
14,AFX-0,80.4625000000005,3.299976325672703,12.297433960851933,0.2365380898231573,3.544024145630222,0.2925955115314226
15,AFY-0,92.03750000000068,1.5345500154768699,14.392599639151248,0.7596988891629924,6.750886057080081,0.7430450987320345
16,AHT-0,79.5500000000005,0.46904157598235074,12.174644737263055,0.2683466094933534,3.3354976214909855,0.2818921526772013
17,ANA-0,95.67500000000074,1.0720890821195939,13.056173207703091,0.2154243448477144,5.706098907841577,0.25083453456779936
18,APC-0,105.21250000000086,0.6989948140008035,9.375538477035978,0.21697925894018705,2.6922922933935056,0.21991397300759918
19,APD-0,120.5750000000011,0.22220486043289128,9.269268404242565,0.11028068345542318,3.437777235176766,0.11668486286835117
20,AST-0,95.60000000000072,2.382750511488804,10.172415453796784,0.10105651983542596,2.8129752350925146,0.1559840867178795
21,ASV-0,108.0875000000009,0.826797284707699,6.8431471280064065,0.07456884241267742,0.3375761597076653,0.08441844611051981
22,ATN-0,67.72500000000032,19.658124910581144,6.94622651607412,0.5043138613011598,-4.129531094446196,2.3356315110176626
23,ATO-0,95.82500000000073,8.852506707142458,5.268926712407295,0.10066661673976744,-2.147050104470835,0.9340335230985718
24,ATS-0,78.51250000000047,1.6166612972419667,11.118372702450111,0.22291360067497476,2.158805224844523,0.3784034913472695
25,ATT-0,100.6500000000008,2.0192820506308977,9.807585322868649,0.29444408355040064,2.8188894359592744,0.2624459152711139
26,ATV-0,118.77500000000104,0.4892596447695301,7.029648877358586,0.0819154776732177,1.109702915584692,0.08861018579830467
27,AVL-0,85.93750000000058,2.6485550305780317,10.567974975505036,0.056754424185778814,2.3781765049795514,0.2519787145899338
28,AWO-0,119.83750000000107,2.42586968941041,6.707794016734536,0.10514606885761334,0.8379564935000626,0.17886526594400604
29,AWW-0,88.87500000000063,2.549387181265367,9.736021668813711,0.08727410961262082,1.818008564858106,0.2810060670656838
30,BCT-0,63.61250000000027,2.502717273285214,10.81665398223177,0.593674424162373,-0.25518509418046476,0.33487508444738123
31,BEA-0,78.86250000000048,3.567189895421935,11.729735867207562,0.20152585791574984,2.794125123428901,0.4852622670180242
32,BEC-0,75.97500000000043,3.5706266956936763,12.486000247119517,0.16945402611973354,3.2086800931723394,0.5072947032975361
33,BIK-0,88.86250000000061,0.7920503456220575,10.232881252390357,0.1630590157243063,2.319696428101767,0.1335251652668531
34,BOF-0,110.38750000000094,4.781327613749202,6.894768214573473,0.1923688664881841,0.5121440262827381,0.2392202958745478
35,BOG-0,82.96250000000055,3.0902821473128124,11.458865624511377,0.37053836849052124,2.9708939761953372,0.6883766758600154
36,BOZ-0,75.67500000000042,2.871301969490539,14.978889198023966,0.23377509586856743,5.672932918127298,0.5518369384621139
37,BPH-0,79.22500000000049,2.5601513627127974,12.904317003379028,0.3304718335009305,4.019313745913133,0.6032872527896853
38,BRE-0,69.28750000000034,5.510997527671451,8.217596900166956,0.5070987588992069,-1.9908459784829649,1.031480529567468
39,BSV-0,97.36250000000075,1.1736028928049043,9.7581888149934,0.12751826568770394,2.5353608355224524,0.16766257399779083
40,CAS-0,121.26250000000108,0.5313602826708143,6.956594250525255,0.08290560984104989,1.158073230506142,0.09859236337866999
41,CDO-0,69.52500000000035,4.459750553562451,7.470775713596425,0.26835990821757566,-2.6826937539762126,0.718687061710359
42,CFI-0,75.46250000000043,0.8702549913674852,13.091014570302205,0.45005017736546543,3.772175040885789,0.4479597498042209
43,CGF-0,112.30000000000096,1.7993054215446849,6.3589741983356,0.1643156701979231,0.09619134646013427,0.1470489704718469
44,CGS-0,88.0500000000006,2.22036033111748,10.427090619369613,0.10866043204779423,2.4365285746025145,0.19799291682162465
45,CON-0,83.35000000000053,2.4530593144072483,11.866378435677222,0.3802699963306229,3.4228107973398405,0.6305981683754999
46,CSV-0,86.26250000000059,1.0919449390880627,11.665839578396007,0.37533315381658805,3.5134745404582977,0.4532782766797438
47,CZP-0,110.03750000000093,0.41814321709194746,10.654207728057289,0.09178088518378717,4.264206035983468,0.11234381420055532
48,DAC-0,114.35000000000099,2.139509289533497,8.202648748954564,0.17848816941864312,2.0515168843789247,0.20400726703610467
