,Zeolite,"Heat of adsorption (92.4 K, 54.6 bar)","Heat of adsorption error (92.4 K, 54.6 bar)"
0,ABW-0,6.885279,0.17954461
1,ACO-0,6.187923,0.6877639
2,AEI-0,5.0644183,0.10371725
3,AEL-0,5.7820206,0.17217226
4,AEN-0,6.4978204,0.21241154
5,AET-0,4.531772,0.23603833
6,AFG-0,5.7166944,0.06167376
7,AFI-0,4.644128,0.11260249
8,AFN-0,5.90328,0.17879589
9,AFO-0,5.745893,0.16816406
10,AFR-0,4.8832555,0.114933394
11,AFS-0,4.6899376,0.09824081
12,AFT-0,4.9632287,0.14162496
13,AFV-0,5.2121105,0.117733575
14,AFX-0,4.8803754,0.223862
15,AFY-0,5.1348205,0.13874304
16,AHT-0,6.226797,0.15446155
17,ANA-0,7.5779195,0.44471017
18,APC-0,7.315262,0.34674984
19,APD-0,10.241625,2.9255285
20,AST-0,5.2553697,0.11404705
21,ASV-0,5.8656545,0.17836794
22,ATN-0,5.1088395,0.14848077
23,ATO-0,5.2053175,0.24796364
24,ATS-0,4.762462,0.21181355
25,ATT-0,5.6631885,0.08453372
26,ATV-0,10.208029,2.620253
27,AVL-0,5.1878333,0.14062503
28,AWO-0,5.906863,0.9072275
29,AWW-0,5.449734,0.110005856
30,BCT-0,5.6798096,0.33294502
31,BEA-0,4.424571,0.15447924
32,BEC-0,4.296001,0.21007065
33,BIK-0,6.260542,0.17796512
34,BOF-0,5.239276,0.23579596
35,BOG-0,4.7133684,0.11345528
36,BOZ-0,4.360914,0.26599854
37,BPH-0,4.4459944,0.14014773
38,BRE-0,5.4732685,0.30913413
39,BSV-0,6.058448,0.17900841
40,CAS-0,13.146111,7.0380354
41,CDO-0,5.2138987,0.20154747
42,CFI-0,5.0698476,0.2641071
43,CGF-0,5.94833,0.24905056
44,CGS-0,5.5933805,0.16559063
45,CON-0,4.7175484,0.13575591
46,CSV-0,4.9653788,0.11825861
47,CZP-0,9.074968,1.7357396
48,DAC-0,5.524076,0.29047617
49,DDR-0,5.7940207,0.19443141
50,DFO-0,4.5281463,0.15088673
51,DFT-0,8.708936,3.5846102
52,DOH-0,5.554854,0.5064755
53,DON-0,4.4377575,0.1291628
54,EAB-0,5.3105903,0.111641936
55,EDI-0,4.197715,0.52406853
56,EEI-0,5.708402,0.131649
57,EMT-0,3.7918382,0.19472656
58,EON-0,5.1564484,0.17050935
59,EPI-0,5.778723,0.36803496
60,ERI-0,5.084731,0.15061122
61,ESV-0,6.003498,0.13988827
62,ETL-0,6.0911155,0.13935068
63,ETR-0,4.7085934,0.1119522
64,EUO-0,5.376558,0.16819604
65,EWS-0,5.1860747,0.10855554
66,EZT-0,4.930358,0.14909282
67,FAR-0,5.543692,0.107780136
68,FAU-0,3.7947292,0.19390057
69,FER-0,5.4960904,0.11998512
70,FRA-0,5.3194203,0.17870419
71,GIS-0,5.701312,0.14843318
72,GIU-0,5.681983,0.09671792
73,GME-0,4.830192,0.2880632
74,GON-0,5.4696856,0.088296056
75,GOO-0,5.590878,0.14026135
76,HEU-0,5.2081327,0.27676317
77,IFO-0,4.5857434,0.22795992
78,IFR-0,5.0255966,0.1039389
79,IFW-0,4.8897443,0.14548822
80,IFY-0,5.83354,0.11925597
81,IHW-0,5.3553715,0.20236924
82,IMF-0,5.31301,0.15948026
83,IRN-0,5.0658073,0.1359981
84,IRR-0,3.2140431,0.13090548
85,IRY-0,3.276089,0.13179977
86,ISV-0,4.365321,0.29649898
87,ITE-0,5.073444,0.120817475
88,ITG-0,4.902863,0.12610552
89,ITH-0,5.37083,0.12875716
90,ITR-0,5.3124437,0.093983404
91,ITT-0,3.4127605,0.17936264
92,ITW-0,6.5531554,0.34574497
93,IWR-0,4.624489,0.16614813
94,IWS-0,4.277713,0.1729795
95,IWV-0,4.3247833,0.17911948
96,IWW-0,4.8064747,0.21750505
97,JBW-0,6.76408,0.19407901
98,JNT-0,7.9578657,0.8951476
99,JOZ-0,5.4427805,0.14539817
100,JRY-0,6.0157547,0.19781482
101,JSR-0,4.248734,0.13772035
102,JST-0,5.8525534,0.1950076
103,JSW-0,5.7399235,0.18906516
104,KFI-0,5.199693,0.21413475
105,LAU-0,5.209708,0.14944887
106,LEV-0,5.2429996,0.095266595
107,LIO-0,5.919001,0.31161225
108,LOS-0,5.6785955,0.08786794
109,LOV-0,6.9197674,0.25742865
110,LTA-0,4.4575586,0.17452466
111,LTF-0,5.210425,0.27412102
112,LTJ-0,7.4488444,0.27073124
113,LTL-0,4.800305,0.14629225
114,LTN-0,5.319814,0.13512072
115,MAR-0,5.6804047,0.108148724
116,MAZ-0,4.8683805,0.29554218
117,MEI-0,4.409779,0.22242706
118,MEL-0,5.1976733,0.12399401
119,MEP-0,5.611279,0.29370672
120,MER-0,5.861985,0.10947782
121,MFI-0,5.68019,0.10144819
122,MFS-0,5.335677,0.14495593
123,MON-0,6.868764,0.14494784
124,MOR-0,5.41492,0.095743604
125,MOZ-0,5.079406,0.108408645
126,MRE-0,5.181938,0.20533851
127,MSE-0,4.8435206,0.15373455
128,MSO-0,5.5534453,0.21917176
129,MTF-0,5.911297,0.14401338
130,MTN-0,5.583967,0.5138541
131,MTT-0,5.7102532,0.13958995
132,MTW-0,5.238886,0.28289348
133,MVY-0,4.917806,0.19401708
134,MWF-0,5.544349,0.15616672
135,MWW-0,4.935788,0.11807521
136,NAB-0,5.8370852,0.15995479
137,NAT-0,5.840116,0.117888205
138,NES-0,5.272834,0.15750417
