,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
0,ABW-0,1.0,92.4,-6.271997102802947,4.2387342834793174e-05,-7.041312896080958,9.83972292272206e-05,-0.7693157932780115,5.600988639242743e-05,-2.305916522147669,0.004608173820646044,-7.10743504710191,0.04513283191120543
1,ACO-0,1.0,92.4,-6.640823447865223,0.0020709064240311825,-7.410524554227723,0.0016647991202232149,-0.7697011063624991,0.0004061073038080787,-2.9124186378310117,0.00019338527762413626,-7.457971614903103,0.0020058347006597366
2,AEI-0,1.0,92.4,-4.572245888042431,0.00014052624628790866,-5.34122592223355,0.00018701431887757636,-0.7689800341911184,0.0003275405651654295,-2.2344023561821924,0.01643836843902613,-5.3875214643170395,0.03982959634714778
3,AEL-0,1.0,92.4,-5.354676232543358,0.00026204450731048823,-6.123852792814883,5.717610394251338e-05,-0.7691765602715241,0.00031922061125322365,-2.082555587689651,0.003320987589797486,-6.170912446167769,0.01694484540175356
4,AEN-0,1.0,92.4,-6.6185757142905075,0.0029003866457317784,-7.388165364530911,0.003033062038567902,-0.7695896502404032,0.00013267539283584595,-2.272720641379882,0.018028907730249122,-7.308027686323873,0.14667334150833122
5,AET-0,1.0,92.4,-3.462787001529975,0.011439982468769871,-4.23239819469679,0.011206817838846472,-0.7696111931668141,0.00023316462992334364,-1.3078650373686371,0.008178552429504271,-4.300643777776385,0.014950511956568047
6,AFG-0,1.0,92.4,-5.687573161171512,0.06420346943800936,-6.45670207769432,0.06467238949708864,-0.7691289165228081,0.00046892005907900325,-2.3515448292263104,0.030795748286192914,-6.15851836085663,0.008447695539390843
7,AFI-0,1.0,92.4,-3.809833709591346,0.006172100845728279,-4.578680719737719,0.006759213379863294,-0.768847010146372,0.0005871125341352923,-1.6746598079159147,0.015806026688935826,-4.658924580439944,0.011256055014613242
8,AFN-0,1.0,92.4,-5.573969210696577,0.003366482768119905,-6.343136532109346,0.0035128423928640906,-0.7691673214127697,0.0001463596247440746,-2.1771489182575765,0.0067464612744987384,-6.310277731145717,0.013182189228750474
9,AFO-0,1.0,92.4,-5.231188051468703,0.010065266617623525,-6.000122552187599,0.009564265018545903,-0.7689345007188961,0.0005010015990775663,-2.0450882113296305,0.011947712293216117,-6.08556742064693,0.013149064216037232
