,Zeolite,"Heat of adsorption (92.4 K, 2.71 bar)","Heat of adsorption error (92.4 K, 2.71 bar)"
0,ABW-0,7.1912704,0.19093384
1,ACO-0,7.6703577,0.24145277
2,AEI-0,5.6175475,0.17605714
3,AEL-0,6.666383,0.18333663
4,AEN-0,7.2728806,0.1993308
5,AET-0,4.8401713,0.17887193
6,AFG-0,6.669832,0.10319937
7,AFI-0,5.0145993,0.22271456
8,AFN-0,6.5871067,0.16065548
9,AFO-0,6.591721,0.18187651
10,AFR-0,5.3867283,0.17970568
11,AFS-0,5.059655,0.24407275
12,AFT-0,5.4752297,0.13895765
13,AFV-0,5.792843,0.14804496
14,AFX-0,5.4765882,0.09219948
15,AFY-0,5.648344,0.24247518
16,AHT-0,6.9193983,0.30496427
17,ANA-0,7.6506276,0.14032875
18,APC-0,7.3037367,0.094748065
19,APD-0,7.9750113,0.33287215
20,AST-0,6.0793443,0.13748948
21,ASV-0,6.998166,0.10887177
22,ATN-0,6.5428576,0.34628224
23,ATO-0,6.0867167,0.24689223
24,ATS-0,5.0965347,0.187231
25,ATT-0,6.8334,0.18836181
26,ATV-0,7.920954,0.31661698
27,AVL-0,5.846873,0.08793023
28,AWO-0,7.731463,0.31377178
29,AWW-0,6.198894,0.09182743
30,BCT-0,6.676895,0.862895
31,BEA-0,4.8289337,0.20394266
32,BEC-0,4.6260796,0.19499004
33,BIK-0,6.838849,0.26869324
34,BOF-0,6.4272957,0.20711677
35,BOG-0,5.1337657,0.18414634
36,BOZ-0,4.6661367,0.11156597
37,BPH-0,4.8012085,0.20834142
38,BRE-0,6.8282638,0.54467773
39,BSV-0,6.942363,0.15041637
40,CAS-0,8.044287,0.41290888
41,CDO-0,6.213231,0.16882871
42,CFI-0,5.3452463,0.10668394
43,CGF-0,7.359664,0.2716095
44,CGS-0,6.233035,0.113057025
45,CON-0,5.1116743,0.21297179
46,CSV-0,5.406728,0.19929229
47,CZP-0,7.9052167,0.26455328
48,DAC-0,6.908085,0.20727463
49,DDR-0,6.8617735,0.16454439
50,DFO-0,4.8673615,0.19723766
51,DFT-0,8.188768,0.29148066
52,DOH-0,7.1871,0.23673528
53,DON-0,4.7734385,0.24769174
54,EAB-0,5.9925876,0.13274021
55,EDI-0,6.2157164,0.7371462
56,EEI-0,6.291138,0.18022291
57,EMT-0,4.1422834,0.17949118
58,EON-0,5.8371444,0.06098465
59,EPI-0,7.206352,0.115463555
60,ERI-0,5.617698,0.12391506
61,ESV-0,6.990684,0.1472172
62,ETL-0,7.074962,0.18267211
63,ETR-0,5.0756893,0.22723585
64,EUO-0,5.8707724,0.1746086
65,EWS-0,5.857519,0.13307449
66,EZT-0,5.6323004,0.14420944
67,FAR-0,6.623662,0.15233268
68,FAU-0,4.11783,0.16901767
69,FER-0,6.4392757,0.15548599
70,FRA-0,6.300563,0.205481
71,GIS-0,6.7229476,0.17826116
72,GIU-0,6.6822205,0.1096712
73,GME-0,5.408528,0.12537016
74,GON-0,6.1757255,0.14992401
75,GOO-0,6.825168,0.23529148
76,HEU-0,6.5776443,0.25412396
77,IFO-0,4.850917,0.16734461
78,IFR-0,5.566707,0.18097778
79,IFW-0,5.246049,0.22152716
80,IFY-0,6.6821876,0.12570223
81,IHW-0,6.1674786,0.107496485
82,IMF-0,6.0748963,0.21390204
83,IRN-0,5.4908657,0.18321344
84,IRR-0,3.7276454,0.19111797
85,IRY-0,3.765982,0.1667372
86,ISV-0,4.674444,0.14793906
87,ITE-0,5.6956964,0.17429432
88,ITG-0,5.366447,0.16767882
89,ITH-0,6.0136085,0.19168986
90,ITR-0,5.965387,0.15697981
91,ITT-0,3.8913975,0.21935596
92,ITW-0,7.325434,0.20195247
93,IWR-0,5.037247,0.15187627
94,IWS-0,4.6080966,0.17690402
95,IWV-0,4.653157,0.1695548
96,IWW-0,5.3272815,0.11294974
97,JBW-0,7.4148717,0.24612777
98,JNT-0,7.8786683,0.14421156
99,JOZ-0,6.494858,0.16728334
100,JRY-0,7.1395054,0.1601038
101,JSR-0,4.6061306,0.20898275
102,JST-0,6.3668356,0.24362668
103,JSW-0,6.7719717,0.151473
104,KFI-0,5.583285,0.14997047
105,LAU-0,6.1757283,0.14424177
106,LEV-0,5.895464,0.15373126
107,LIO-0,7.368329,0.15941551
108,LOS-0,6.8156805,0.15267095
109,LOV-0,7.438424,0.11364267
110,LTA-0,4.813609,0.16196993
111,LTF-0,5.868161,0.10282561
112,LTJ-0,7.3016987,0.1239942
113,LTL-0,5.1422167,0.23805472
114,LTN-0,6.0784664,0.103934705
115,MAR-0,6.918454,0.239046
116,MAZ-0,5.5329137,0.15247633
117,MEI-0,4.77728,0.17713489
118,MEL-0,5.8872633,0.18153036
119,MEP-0,7.457101,0.38381243
120,MER-0,6.880063,0.14991355
121,MFI-0,6.6431875,0.16770782
122,MFS-0,5.9912333,0.11825018
123,MON-0,7.163643,0.18410984
124,MOR-0,6.1902013,0.13704294
125,MOZ-0,5.615754,0.15449144
126,MRE-0,6.192051,0.20283198
127,MSE-0,5.2599316,0.17222266
128,MSO-0,6.1512346,0.25308445
129,MTF-0,6.9496202,0.22402057
130,MTN-0,7.276495,0.2547367
131,MTT-0,6.3899336,0.20714764
132,MTW-0,6.2162566,0.29298094
133,MVY-0,5.948165,0.84339154
134,MWF-0,6.8378444,0.29218397
135,MWW-0,5.503369,0.24414249
136,NAB-0,6.273939,0.22032666
137,NAT-0,6.6484313,0.14301983
138,NES-0,5.681347,0.22555129
139,NON-0,6.34392,0.05211811
140,NPO-0,6.473665,0.23868637
141,NPT-0,4.8243823,0.25028548
142,NSI-0,7.2770495,0.082357585
143,OBW-0,4.5746202,0.14860077
144,OFF-0,5.59279,0.14073232
145,OKO-0,5.6422224,0.08987489
146,OSI-0,6.1413755,0.19774567
147,OSO-0,5.142744,0.17377709
148,OWE-0,6.43407,0.10476944
149,PAU-0,6.7325563,0.21813509
150,PCR-0,6.762711,0.1536258
151,PHI-0,7.000148,0.2394625
152,PON-0,6.71954,0.17858993
153,POS-0,5.0091786,0.22395968
154,PSI-0,6.5611305,0.35421813
155,PUN-0,5.891395,0.24464066
156,RHO-0,5.588674,0.12782751
157,RRO-0,6.7926536,0.2760035
158,RSN-0,7.257998,0.1306057
159,RTE-0,6.514867,0.0900599
160,RTH-0,6.0664673,0.22260748
161,RWR-0,7.8030443,0.2731577
162,RWY-0,3.7116005,0.1613571
163,SAF-0,5.578883,0.12175174
164,SAO-0,4.5382957,0.15601741
165,SAS-0,5.2794156,0.18211338
166,SAT-0,5.504245,0.20220049
167,SAV-0,5.424368,0.1856199
168,SBE-0,4.409741,0.15832411
169,SBN-0,7.5282526,0.17393968
170,SBS-0,4.2198124,0.13452
171,SBT-0,4.1951747,0.13757353
172,SEW-0,5.6618667,0.19952099
173,SFE-0,5.362134,0.16654013
174,SFF-0,5.8774333,0.19777289
175,SFG-0,5.6331515,0.18153524
176,SFH-0,4.755319,0.14821303
177,SFN-0,4.8486567,0.14949249
