,Zeolite,"Heat of adsorption (275.9 K, 148.4 bar)","Heat of adsorption error (275.9 K, 148.4 bar)"
161,RWR-0,6.8231616,0.2294201
162,RWY-0,3.506306,0.20517892
163,SAF-0,5.4302955,0.10561342
164,SAO-0,4.5056224,0.20754322
165,SAS-0,5.0792675,0.17070918
166,SAT-0,5.5134406,0.123771995
167,SAV-0,5.253635,0.1543836
168,SBE-0,4.3778653,0.231938
169,SBN-0,6.6031375,0.25099456
170,SBS-0,4.261035,0.12416174
171,SBT-0,4.235648,0.12668745
172,SEW-0,5.4237595,0.17320819
173,SFE-0,5.2131796,0.17442465
174,SFF-0,5.5072136,0.14409165
175,SFG-0,5.3654428,0.1744013
176,SFH-0,4.8710423,0.16790783
177,SFN-0,4.9344764,0.17313017
178,SFO-0,5.2381544,0.14053574
179,SFS-0,5.2905006,0.16884445
180,SFV-0,5.6527314,0.15447533
181,SGT-0,5.8866405,0.15643649
182,SIV-0,6.3517933,0.07337144
183,SOD-0,6.129314,0.2437805
184,SOF-0,5.8867164,0.15527624
185,SOS-0,5.4006915,0.10813097
186,SSF-0,4.9529614,0.17796078
187,SSY-0,5.237537,0.119405
188,STF-0,5.5550723,0.1429
189,STI-0,5.5724187,0.11717143
190,STO-0,5.5221305,0.110065565
191,STT-0,5.6215,0.10020243
192,STW-0,6.032908,0.14515305
193,SVV-0,6.089415,0.0912061
194,SZR-0,5.6609044,0.051046804
195,TER-0,5.66091,0.18910329
196,THO-0,5.959423,0.1316806
197,TOL-0,6.485396,0.14895037
198,TON-0,6.136729,0.17006207
199,TSC-0,3.869605,0.1342157
200,TUN-0,5.507687,0.15469377
201,UEI-0,6.6927733,0.14754118
202,UFI-0,5.0809555,0.14630699
203,UOS-0,6.2812324,0.15349641
204,UOV-0,5.162955,0.16730025
205,UOZ-0,6.5137706,0.18369217
206,USI-0,5.1501784,0.13513747
207,UTL-0,4.6422315,0.23406896
208,UWY-0,5.2329435,0.18670902
209,VET-0,5.267795,0.19067274
210,VFI-0,3.8636656,0.14641786
211,VNI-0,6.325538,0.15491335
212,VSV-0,6.2836747,0.13809513
213,WEI-0,5.953333,0.11388216
214,YUG-0,6.2725577,0.0585912
215,ZON-0,6.1552196,0.1269775
