,Zeolite,"Heat of adsorption (92.4 K, 7.39 bar)","Heat of adsorption error (92.4 K, 7.39 bar)"
0,ABW-0,7.3476896,0.20493078
1,ACO-0,7.615594,0.24328485
2,AEI-0,5.6114993,0.13136996
3,AEL-0,6.6100802,0.15394364
4,AEN-0,7.2397027,0.17502667
5,AET-0,4.896023,0.102563836
6,AFG-0,6.5976896,0.16001624
7,AFI-0,5.09513,0.11642493
8,AFN-0,6.627286,0.1095385
9,AFO-0,6.5500603,0.15121177
10,AFR-0,5.3960676,0.13018939
11,AFS-0,5.141455,0.13908568
12,AFT-0,5.475263,0.10990857
13,AFV-0,5.791796,0.09425207
14,AFX-0,5.4262238,0.108118534
15,AFY-0,5.6932344,0.17427282
16,AHT-0,6.7175317,0.1993186
17,ANA-0,7.5121474,0.14294283
18,APC-0,7.530082,0.12290442
19,APD-0,8.593187,0.73578
20,AST-0,5.985384,0.120232485
21,ASV-0,6.8580246,0.21720113
22,ATN-0,6.34764,0.32465577
23,ATO-0,5.951903,0.2382667
24,ATS-0,5.1798067,0.07735736
25,ATT-0,6.6896853,0.16576786
26,ATV-0,8.448742,0.6716753
27,AVL-0,5.8145666,0.10369881
28,AWO-0,7.537321,0.41033342
29,AWW-0,6.179312,0.15118386
30,BCT-0,6.3753214,0.6154494
31,BEA-0,4.8793344,0.0929635
32,BEC-0,4.7199707,0.08586353
33,BIK-0,6.900486,0.1969029
34,BOF-0,6.2478447,0.1831472
35,BOG-0,5.1874385,0.100408465
36,BOZ-0,4.736414,0.07055108
37,BPH-0,4.881458,0.092417665
38,BRE-0,6.541066,0.38869956
39,BSV-0,6.903316,0.14445326
40,CAS-0,8.700974,0.85228676
41,CDO-0,6.0805836,0.2174283
42,CFI-0,5.3770604,0.13955538
43,CGF-0,7.116466,0.26742765
44,CGS-0,6.259465,0.11658101
45,CON-0,5.1735377,0.112250485
46,CSV-0,5.455081,0.122486
47,CZP-0,8.1231,0.4054697
48,DAC-0,6.661293,0.21549873
49,DDR-0,6.7449327,0.21134491
50,DFO-0,4.954229,0.08511657
51,DFT-0,9.070888,1.1522921
52,DOH-0,6.9342284,0.3868564
53,DON-0,4.8352795,0.1692726
54,EAB-0,5.97407,0.12060396
55,EDI-0,5.9932327,0.93027455
56,EEI-0,6.3822455,0.12772425
57,EMT-0,4.0949945,0.12811142
58,EON-0,5.792858,0.11977607
59,EPI-0,7.111365,0.30172348
60,ERI-0,5.6286674,0.078727275
61,ESV-0,6.900603,0.12006832
62,ETL-0,6.9759483,0.2079811
63,ETR-0,5.1557474,0.11521712
64,EUO-0,5.9231095,0.10667315
65,EWS-0,5.800629,0.082889885
66,EZT-0,5.5223913,0.12011452
67,FAR-0,6.482312,0.15631312
68,FAU-0,4.043958,0.11556589
69,FER-0,6.3513446,0.2065755
70,FRA-0,6.167791,0.22593597
71,GIS-0,6.6052322,0.19595233
72,GIU-0,6.570092,0.1196314
73,GME-0,5.3614874,0.14382327
74,GON-0,6.15481,0.13597462
75,GOO-0,6.6501303,0.1868201
76,HEU-0,6.3904634,0.16511494
77,IFO-0,4.918587,0.093299
78,IFR-0,5.5535526,0.10510116
79,IFW-0,5.3344383,0.11890078
80,IFY-0,6.648787,0.13521218
81,IHW-0,6.087213,0.17071171
82,IMF-0,5.994967,0.19080393
83,IRN-0,5.552765,0.12082657
84,IRR-0,3.6132538,0.18082586
85,IRY-0,3.6532097,0.162697
86,ISV-0,4.7749557,0.07394151
87,ITE-0,5.655666,0.16116168
88,ITG-0,5.3944488,0.10274092
89,ITH-0,6.0020895,0.14272334
90,ITR-0,5.937684,0.10357395
91,ITT-0,3.7972329,0.17869975
92,ITW-0,7.4684033,0.1386588
93,IWR-0,5.0827627,0.067487426
94,IWS-0,4.6690235,0.10299191
95,IWV-0,4.7151237,0.09374106
96,IWW-0,5.3068733,0.09091318
