,Zeolite,"Heat of adsorption (92.4 K, 20.09 bar)","Heat of adsorption error (92.4 K, 20.09 bar)"
0,ABW-0,7.2321887,0.17443492
1,ACO-0,7.249273,0.5781285
2,AEI-0,5.4609947,0.11807396
3,AEL-0,6.3666773,0.13446046
4,AEN-0,7.027263,0.23346876
5,AET-0,4.8710012,0.118631646
6,AFG-0,6.2520623,0.13115329
7,AFI-0,4.9999804,0.08143219
8,AFN-0,6.3941774,0.12529181
9,AFO-0,6.314562,0.119738325
10,AFR-0,5.2522087,0.10442438
11,AFS-0,5.0505934,0.07903108
12,AFT-0,5.32065,0.15522052
13,AFV-0,5.631949,0.11297808
14,AFX-0,5.253481,0.19158971
15,AFY-0,5.588164,0.08941926
16,AHT-0,6.5532627,0.1756432
17,ANA-0,7.5414286,0.27385098
18,APC-0,7.762628,0.28687757
19,APD-0,10.579965,2.84102
20,AST-0,5.7080555,0.10193498
21,ASV-0,6.5121703,0.13641137
22,ATN-0,5.755956,0.2905583
23,ATO-0,5.7548194,0.2488578
24,ATS-0,5.108044,0.13409545
25,ATT-0,6.248994,0.1401816
26,ATV-0,10.008109,1.9084802
27,AVL-0,5.588257,0.15417656
28,AWO-0,6.977711,0.89742416
29,AWW-0,5.8990035,0.11645669
30,BCT-0,6.0976253,0.48179284
31,BEA-0,4.7447586,0.12140646
32,BEC-0,4.614691,0.1421064
33,BIK-0,6.744787,0.26676014
34,BOF-0,5.7798824,0.29273695
35,BOG-0,5.0702157,0.12718517
36,BOZ-0,4.685811,0.14630163
37,BPH-0,4.77217,0.088108115
38,BRE-0,6.122219,0.3575218
39,BSV-0,6.619029,0.14327678
40,CAS-0,11.190022,3.656101
41,CDO-0,5.705523,0.26838776
42,CFI-0,5.3947954,0.23015378
43,CGF-0,6.689149,0.1556728
44,CGS-0,6.037227,0.10338631
45,CON-0,5.064864,0.11201858
46,CSV-0,5.347011,0.099046215
47,CZP-0,8.782516,0.8467203
48,DAC-0,6.1521792,0.3173068
49,DDR-0,6.4430037,0.1560158
50,DFO-0,4.861589,0.088343486
51,DFT-0,10.143953,2.5115368
52,DOH-0,6.390404,0.48355836
53,DON-0,4.7722,0.083044365
54,EAB-0,5.7507095,0.10214963
55,EDI-0,5.0252576,0.92375183
56,EEI-0,6.1949053,0.11045747
57,EMT-0,4.0953927,0.097347446
58,EON-0,5.5625715,0.17137964
59,EPI-0,6.667672,0.3426322
60,ERI-0,5.463483,0.15073988
61,ESV-0,6.5788326,0.10257916
62,ETL-0,6.643975,0.1623482
63,ETR-0,5.0549784,0.085002266
64,EUO-0,5.793894,0.11884828
65,EWS-0,5.597575,0.08299758
66,EZT-0,5.3247685,0.11201793
67,FAR-0,6.0917583,0.13198443
68,FAU-0,4.069071,0.082490236
69,FER-0,6.0707307,0.13132305
70,FRA-0,5.852776,0.2095201
71,GIS-0,6.2298203,0.17067875
72,GIU-0,6.209846,0.09589194
73,GME-0,5.212014,0.22079168
74,GON-0,5.9679394,0.09347619
75,GOO-0,6.1764684,0.16815059
76,HEU-0,5.773368,0.35538158
77,IFO-0,4.908961,0.11841279
78,IFR-0,5.4188395,0.077457584
79,IFW-0,5.2599745,0.1007265
80,IFY-0,6.36368,0.11837505
81,IHW-0,5.8124895,0.1983822
82,IMF-0,5.8403697,0.14123668
83,IRN-0,5.4584856,0.1395041
84,IRR-0,3.5118175,0.10483983
85,IRY-0,3.56387,0.09534707
86,ISV-0,4.695673,0.16982703
87,ITE-0,5.473759,0.12207517
88,ITG-0,5.268783,0.104908265
89,ITH-0,5.8506775,0.0904916
90,ITR-0,5.7541895,0.07461618
91,ITT-0,3.7307787,0.100282244
92,ITW-0,7.335616,0.16415669
93,IWR-0,4.966423,0.13219072
94,IWS-0,4.5993185,0.093648516
95,IWV-0,4.6476107,0.088149644
96,IWW-0,5.161689,0.18572858
97,JBW-0,7.279655,0.19851626
