,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,ABW-0,98.06250000000074,0.9949089154289604,14.520291146361828,0.24963140241320547,7.772186024435249,0.21479428903208808
1,ACO-0,122.71250000000111,1.910783543471133,11.358614014089108,0.45116372504567326,5.965269214188223,0.5013963891260231
2,AEI-0,101.1125000000008,1.614340035432457,10.180929656672479,0.2512361154685644,3.635367601007353,0.27014719296570994
3,AEL-0,110.16250000000092,2.5292970861486737,5.001291968345643,0.14071452806006404,-1.0081925480922083,0.22850176987923704
4,AEN-0,104.33750000000084,1.3350444749146189,7.907490496206284,0.2035843685154175,1.564825669642026,0.25896909471311774
5,AET-0,90.92500000000065,0.99718353375897,6.660030763548613,0.44279292054350405,-0.617937656288539,0.4109769705593186
6,AFG-0,109.1750000000009,1.951762024428212,7.590262546145916,0.1959695373029484,1.5277211189717055,0.19487376454625743
7,AFI-0,94.87500000000072,1.9841559918514775,7.212843609464168,0.36764460914366726,0.23568517022917423,0.29152843703561865
8,AFN-0,102.41250000000082,1.7193294477790126,7.621953705382348,0.13654052594583252,1.159334950759424,0.15709790551554734
9,AFO-0,108.8250000000009,2.5907286619791328,5.0336001031875615,0.14694241991789195,-1.049991643728837,0.234858350139782
10,AFR-0,97.32500000000074,1.8026022855860588,10.84852657866478,0.20192144209451413,4.047644445409263,0.2160237334765015
11,AFS-0,94.8875000000007,2.288797446258658,11.4591448723197,0.616443837069406,4.481930201497235,0.5095164118782826
12,AFT-0,97.32500000000074,1.6452583383773118,10.312630458915233,0.2403837687604819,3.5121478623906275,0.19680299365921616
13,AFV-0,102.17500000000081,1.7483921184906117,9.272483000349997,0.15705145636824272,2.794739161954394,0.12158264122388651
14,AFX-0,95.75000000000072,2.693510720231163,10.091978235054016,0.2374906360070659,3.1762603740453437,0.2673198697501932
15,AFY-0,102.45000000000081,2.550000000000039,13.119403157687188,0.8008466118672227,6.656948325094346,0.7486860915077725
16,AHT-0,85.08750000000057,0.5060570619999369,10.499954826033115,0.3470720325379319,2.7233404764774987,0.34039397947469197
17,ANA-0,101.92500000000081,1.0603655030224393,12.342972579944133,0.43662345338587333,5.850538014794118,0.4696812985912371
18,APC-0,114.08750000000097,1.1285361093026833,8.240876358520985,0.2774342323689725,2.4406425921370927,0.2606601016444551
19,APD-0,130.3250000000012,0.9202581159653072,8.474535173082351,0.18797852260507253,3.397209763065253,0.20249692121021204
20,AST-0,111.96250000000097,2.753151603163223,8.508400946044922,0.1312623377461066,2.5951075900991767,0.18995505917892735
21,ASV-0,121.86250000000109,1.632434914475941,5.322491871583462,0.12277074123212608,-0.1081226754544975,0.12274476719618549
22,ATN-0,129.20000000000118,10.376536030872881,4.309852213317156,0.40507462781650205,-0.8510780965289516,0.1270260364708297
23,ATO-0,120.28750000000106,1.5759421785078507,3.509103845465183,0.17470870628174232,-1.9925650128044583,0.19731914803281414
24,ATS-0,90.07500000000064,1.2842799539041492,8.902605584180355,0.23428815019436322,1.5553536024503853,0.16213763526503774
25,ATT-0,114.625000000001,3.3461731873888887,8.233496140784025,0.3940847959365745,2.4559958424905473,0.2996410026448073
26,ATV-0,129.1000000000012,1.0977249200050234,5.931352295404673,0.135534868667716,0.8057348629742122,0.14951844239524983
27,AVL-0,102.45000000000081,2.0279299790673564,8.538298250210286,0.1400807974728622,2.077299089374398,0.18623814617777287
28,AWO-0,131.1750000000012,2.2179664109269406,5.586021436929704,0.23934182087445496,0.5403939220184116,0.29045418750546037
29,AWW-0,103.56250000000084,1.5263825700000873,7.771034295910598,0.21670223279046313,1.3805565095467514,0.24192265315000502
30,BCT-0,67.22500000000032,2.4076700355323126,8.373052117836476,0.4803337665461753,-1.4831551812485693,0.4029546421267257
31,BEA-0,93.46250000000069,3.0310631385704028,9.504644853067397,0.18191021765274043,2.417765676416873,0.13183921496590859
32,BEC-0,88.4000000000006,2.755449146691009,10.162882970023155,0.2338515764526103,2.6706383843638823,0.3182315067195031
33,BIK-0,95.65000000000072,1.3238202294873902,8.370919677126409,0.16016052559064625,1.451974661948805,0.1788680699135549
34,BOF-0,128.45000000000118,4.745524207081932,5.458245008051396,0.21614116724719767,0.29970904376222973,0.14639303425235986
35,BOG-0,96.32500000000074,2.2481937194112382,9.499738605380056,0.39441473113251646,2.626894096370265,0.3252327341056724
36,BOZ-0,85.96250000000057,1.5016137153076543,12.926622130954266,0.3352114919206416,5.227106081635438,0.37038257476457054
37,BPH-0,91.43750000000065,2.128930189085618,10.886829409492016,0.3925161075572356,3.646675613686514,0.3185717636634125
38,BRE-0,96.83750000000074,18.73438933485717,5.624088591486215,0.6630359886564328,-1.4899747221818422,1.5411268372492783
39,BSV-0,107.78750000000089,1.312857094279513,8.051589264041185,0.23385044027533433,1.9120503103479296,0.24897460655166703
40,CAS-0,131.93750000000125,0.813845040532916,5.895041388642787,0.14130001261909114,0.8798295540111654,0.1589693387941016
41,CDO-0,114.13750000000098,5.659491474505537,5.014461724162103,0.3771799498906353,-0.798032382373929,0.13425557241306932
42,CFI-0,82.21250000000053,1.809998273479865,10.980800261080265,0.4806458129451254,2.92856563737187,0.4029730187413038
43,CGF-0,126.88750000000115,2.3566064054059104,4.860748049342633,0.19530635081186087,-0.35567091107690396,0.14753997134079078
44,CGS-0,98.03750000000075,2.5307792772188136,8.469641421103477,0.1294818311809089,1.7158997034553636,0.268194221614455
45,CON-0,96.47500000000073,2.006707502353073,9.933664817857743,0.4029679127515245,3.0722663167735336,0.320540847012971
46,CSV-0,98.53750000000078,1.6309027408156718,9.831816863894463,0.34541259496331006,3.1150638386037017,0.29194762050824147
47,CZP-0,118.31250000000104,0.6845390785046649,9.800180133080481,0.1318336286650886,4.207437992409071,0.13491374516941054
48,DAC-0,127.98750000000118,3.0399167340570754,6.934232324755192,0.2614105608143529,1.7615474309849923,0.22539552922502887
49,DDR-0,122.8750000000011,1.6648948915772654,7.560875763761998,0.1835547561866979,2.1749931718234503,0.17411992762415404
50,DFO-0,91.40000000000066,1.63095064303003,11.170952983748913,0.4017951333631363,3.9293927232128287,0.3176655945319434
51,DFT-0,132.02500000000123,1.0207227831296943,8.336032980751991,0.11991536408073476,3.324036937425232,0.11798404168705898
52,DOH-0,141.42500000000138,1.900493356999733,7.477120334070921,0.23786776154320763,2.7976854598827714,0.2154029027177625
53,DON-0,91.11250000000067,2.1791268320132557,7.585822424429656,0.4339753786855778,0.3195579347813339,0.3312917124436765
54,EAB-0,105.68750000000087,1.4030658395100566,8.431205462920666,0.1207934008599101,2.1694844751549707,0.15994922085224017
55,EDI-0,127.8250000000012,17.180566783433203,5.9156220007121565,1.2326509446639624,0.6061248437874823,0.2829892498722991
56,EEI-0,98.91250000000078,2.3007811173599633,7.1817796987473965,0.1469433437834153,0.4887286921132947,0.18044069373984956
57,EMT-0,83.52500000000055,1.5392774278862364,13.139734396266938,0.6924511401646289,5.215208872453061,0.6283164827277031
58,EON-0,98.93750000000077,2.919733506674923,7.628172903591395,0.23015817162848498,0.9346019544475093,0.28401234679993526
59,EPI-0,128.3500000000012,1.3152946437966055,7.102752332746983,0.21470634712691755,1.9470178534303793,0.22887587063926015
60,ERI-0,98.90000000000077,2.2427661492006092,8.547101837277413,0.08067556340069532,1.8532691962183323,0.16745400405625688
61,ESV-0,112.06250000000097,1.6347304823731856,7.940835955077409,0.24612521412933852,2.0351357371281784,0.23013611045524784
62,ETL-0,104.40000000000084,1.4916433890176513,7.963854431807996,0.3962950230789385,1.6247487890055097,0.3582969043170951
63,ETR-0,93.45000000000068,2.609118625129985,10.006570668447019,0.3543419937339898,2.920658383952504,0.2534307795938562
64,EUO-0,97.85000000000076,1.7182840277439826,8.039445177602769,0.1787204418001334,1.2752712726229003,0.13453917798455844
65,EWS-0,106.98750000000086,1.992760334310203,7.283502215021849,0.066296242036796,1.0967882196251635,0.11177895625796617
66,EZT-0,108.0125000000009,2.7511077314420493,6.441977526897192,0.08038316627617703,0.3121207509642866,0.21091811617502984
67,FAR-0,112.02500000000096,10.115056846108327,6.266308591926098,0.43822548528807104,0.3014744263530057,0.8765007374177545
68,FAU-0,80.7125000000005,1.6058000342508651,13.619073257386685,0.6875238172642935,5.41797797030502,0.6366125514377309
69,FER-0,118.70000000000104,2.2566568192793857,6.285890448451044,0.1094735028240735,0.7095908702718902,0.12469185469782985
70,FRA-0,122.46250000000111,2.0438551196207904,6.846921866005659,0.18149814144921472,1.442349871743466,0.1873125280580032
71,GIS-0,107.80000000000089,3.4358405085219457,8.510108232289552,0.5765688564759732,2.365923729641204,0.41659631958659804
72,GIU-0,108.82500000000091,1.7767596911231616,6.855895827251672,0.3277953748258895,0.7741739279703639,0.31947633672580394
73,GME-0,91.97500000000066,3.402848071836344,10.257848071491718,0.3192382146292529,3.054269800435187,0.32570305542596617
74,GON-0,107.9625000000009,1.1179641094418165,4.8313580829560765,0.10173306723274116,-1.2980012511978742,0.08582091022348266
75,GOO-0,116.77500000000103,4.888698702108845,4.363084832513333,0.30781690706475906,-1.3136471729139148,0.13870251884131593
76,HEU-0,128.3750000000012,6.854697294556586,5.788441581082345,0.3237702561271319,0.6185208504920456,0.2045484506112493
77,IFO-0,87.3875000000006,1.4589700990767658,9.315240190792082,0.45589580249593514,1.7415136726433484,0.35657550887480144
78,IFR-0,102.3500000000008,1.5008331019803824,8.230340193414689,0.16347589603470739,1.7641760631005805,0.14272769264127222
79,IFW-0,95.1250000000007,1.7998263805156571,9.84996435726881,0.46640386779429505,2.8917370956178825,0.36504305013410326
80,IFY-0,107.6250000000009,0.8799857953399157,9.254688510739804,0.22456329545150502,3.1063677046744713,0.23730192121784674
81,IHW-0,96.15000000000073,7.906326580656897,6.231199736273289,0.34780798971077753,-0.7010513316803485,0.7304184248903045
82,IMF-0,114.250000000001,1.7080690852538938,6.608147380489112,0.230997479355539,0.8154332569190373,0.2455850998985061
83,IRN-0,97.33750000000074,1.244927206707297,10.997778324353696,0.3696250743282026,4.198981719673798,0.31881486224694605
84,IRR-0,75.10000000000043,2.3906066175764185,15.102288860833646,0.957514397884963,6.283014028639558,0.8748416912189094
85,IRY-0,75.30000000000042,2.5039968051098165,16.941199011039732,1.052055712405487,8.144512851814461,1.102452879029404
86,ISV-0,86.3000000000006,2.192601194928101,10.789790380871295,0.19213252390853958,3.11765483726123,0.24616779965911947
87,ITE-0,103.41250000000083,1.7975243391954627,9.104391931581498,0.19155846350796207,2.7041004235796957,0.23981473800282085
88,ITG-0,97.43750000000075,1.495775300638458,8.768960497760773,0.18687362678470928,1.9766593888413997,0.15681833280674173
89,ITH-0,106.87500000000088,1.34513010523148,7.2442219554603104,0.21535190765443996,1.052184475712987,0.1760588590324751
