,Zeolite,"Heat of adsorption (77.0 K, 148.4 bar)","Heat of adsorption error (77.0 K, 148.4 bar)"
0,ABW-0,5.419913,0.56108934
1,ACO-0,4.2733974,0.5557575
2,AEI-0,3.7565858,0.10196197
3,AEL-0,3.9537811,0.30986157
4,AEN-0,4.7477527,0.3386428
5,AET-0,3.490126,0.23820905
6,AFG-0,4.0920773,0.19882362
7,AFI-0,3.5408869,0.19308229
8,AFN-0,4.279474,0.3061156
9,AFO-0,3.9555233,0.2923181
10,AFR-0,3.740474,0.14691325
11,AFS-0,3.5546513,0.20232768
12,AFT-0,3.7955961,0.11978018
13,AFV-0,3.7681167,0.086987615
14,AFX-0,3.816027,0.14091739
15,AFY-0,3.7165682,0.17074196
16,AHT-0,5.293063,0.64453024
17,ANA-0,6.4466667,1.425591
18,APC-0,5.0280423,0.4606319
19,APD-0,4.672978,0.99189186
20,AST-0,3.7881234,0.1739254
21,ASV-0,3.8667078,0.3009953
22,ATN-0,3.6985195,0.2358927
23,ATO-0,3.5357933,0.14068289
24,ATS-0,3.738445,0.13582823
25,ATT-0,4.0556145,0.21141556
26,ATV-0,4.820233,0.98230565
27,AVL-0,3.813434,0.13351244
28,AWO-0,3.932002,0.39395443
29,AWW-0,3.9289048,0.19595753
30,BCT-0,4.9076524,0.39189565
31,BEA-0,3.4198244,0.20419371
32,BEC-0,3.358266,0.19233367
33,BIK-0,4.8319607,0.47435305
34,BOF-0,3.674716,0.25912702
35,BOG-0,3.601021,0.17855053
36,BOZ-0,3.4863033,0.17314586
37,BPH-0,3.4788094,0.20883283
38,BRE-0,3.999707,0.32411647
39,BSV-0,4.3014092,0.3904252
40,CAS-0,4.8002934,1.2107854
41,CDO-0,3.7855775,0.18021752
42,CFI-0,4.214456,0.31240496
43,CGF-0,3.8733385,0.3867024
44,CGS-0,4.119124,0.269243
45,CON-0,3.5755508,0.17537266
46,CSV-0,3.687878,0.11222405
47,CZP-0,5.7208896,0.5157045
48,DAC-0,3.7193244,0.24997768
49,DDR-0,3.7555478,0.24261957
50,DFO-0,3.541892,0.20427047
51,DFT-0,4.2450466,0.83208656
52,DOH-0,3.4696941,0.2163467
53,DON-0,3.4341428,0.21998727
54,EAB-0,3.7803342,0.17390281
55,EDI-0,3.6562684,0.2980263
56,EEI-0,4.193593,0.2933293
57,EMT-0,2.9743395,0.21690509
58,EON-0,3.8528423,0.120507255
59,EPI-0,3.7792828,0.27320653
60,ERI-0,3.7567441,0.12805802
61,ESV-0,4.1607947,0.32417932
62,ETL-0,4.495823,0.34138298
63,ETR-0,3.6433172,0.18456396
64,EUO-0,3.948436,0.15912192
65,EWS-0,3.7362497,0.111286655
66,EZT-0,3.642741,0.18407
67,FAR-0,3.8596642,0.32460865
68,FAU-0,3.0005124,0.23335524
69,FER-0,3.7374303,0.19388339
70,FRA-0,3.6605263,0.19823757
71,GIS-0,4.146224,0.2335631
72,GIU-0,4.0297856,0.2928652
73,GME-0,3.8446465,0.10490482
74,GON-0,3.8429759,0.12868424
75,GOO-0,4.013306,0.20353855
76,HEU-0,3.7547207,0.30257156
77,IFO-0,3.6302836,0.1728532
78,IFR-0,3.6634579,0.10719308
79,IFW-0,3.6865902,0.12481933
80,IFY-0,4.1447635,0.27425453
81,IHW-0,3.9900677,0.19858126
82,IMF-0,3.6623194,0.109163046
83,IRN-0,3.759267,0.052497733
84,IRR-0,2.6682796,0.20014621
85,IRY-0,2.7012994,0.20936486
86,ISV-0,3.466176,0.16410513
87,ITE-0,3.7590277,0.11595749
88,ITG-0,3.692169,0.122801766
89,ITH-0,3.780659,0.11334447
90,ITR-0,3.8088486,0.077330746
91,ITT-0,2.743697,0.22082637
92,ITW-0,4.398527,0.28238785
93,IWR-0,3.5862494,0.21028395
94,IWS-0,3.3650525,0.20618755
95,IWV-0,3.4085686,0.20419613
96,IWW-0,3.7109776,0.14561294
97,JBW-0,5.128601,0.54087883
98,JNT-0,4.4261436,0.66280794
99,JOZ-0,3.9724855,0.15735486
100,JRY-0,4.0339,0.34105995
101,JSR-0,3.3192704,0.2539
102,JST-0,4.2422585,0.22906809
103,JSW-0,4.235849,0.4119242
104,KFI-0,4.019501,0.1443233
105,LAU-0,3.7107265,0.18049185
106,LEV-0,3.7458038,0.09282886
107,LIO-0,3.8008778,0.27108794
108,LOS-0,3.924023,0.24394307
109,LOV-0,4.8698926,0.39402738
110,LTA-0,3.5030448,0.2399374
111,LTF-0,4.075212,0.15509386
112,LTJ-0,5.5874124,0.9307556
113,LTL-0,3.623152,0.17460483
114,LTN-0,3.7788334,0.26379266
115,MAR-0,3.854976,0.35901234
116,MAZ-0,3.8158817,0.12144844
117,MEI-0,3.459561,0.17327787
118,MEL-0,3.667433,0.110073596
119,MEP-0,3.6406238,0.32949513
120,MER-0,4.264352,0.2719521
121,MFI-0,3.8248575,0.21531992
122,MFS-0,3.97424,0.08178487
123,MON-0,5.3546243,0.56661254
124,MOR-0,3.8504515,0.17844374
125,MOZ-0,3.7126381,0.07985298
126,MRE-0,3.6206634,0.24535084
127,MSE-0,3.6631196,0.14011952
128,MSO-0,3.8414638,0.1794438
129,MTF-0,4.1101937,0.37875113
130,MTN-0,3.4590428,0.28926942
131,MTT-0,4.149343,0.36617404
132,MTW-0,4.121385,0.15208967
133,MVY-0,4.15904,0.33480045
134,MWF-0,4.0437174,0.2189475
135,MWW-0,3.595762,0.14820428
136,NAB-0,4.6009383,0.39999756
137,NAT-0,4.0914373,0.29714656
138,NES-0,3.907463,0.14691375
139,NON-0,4.0667553,0.26174986
140,NPO-0,4.676374,0.4300895
141,NPT-0,3.6296651,0.15941235
142,NSI-0,5.5594993,0.55713326
143,OBW-0,3.4153652,0.16909161
144,OFF-0,3.7274008,0.122309126
145,OKO-0,3.7897158,0.16208933
146,OSI-0,4.3629246,0.33345
147,OSO-0,3.742983,0.13046132
148,OWE-0,4.0113797,0.24256328
149,PAU-0,4.027085,0.18268092
150,PCR-0,3.814434,0.24165791
151,PHI-0,4.1576023,0.25248504
152,PON-0,3.7948925,0.19999456
153,POS-0,3.5538218,0.17778225
154,PSI-0,3.871893,0.22475302
155,PUN-0,4.0031104,0.20799892
156,RHO-0,3.6992114,0.14948899
157,RRO-0,4.8495917,0.4782948
158,RSN-0,4.5325017,0.2974091
159,RTE-0,4.201532,0.33724433
160,RTH-0,3.9734957,0.2143015
161,RWR-0,5.548802,1.0515107
162,RWY-0,2.6853526,0.18820415
163,SAF-0,3.756526,0.1344382
164,SAO-0,3.336275,0.20984228
165,SAS-0,3.6806347,0.11065686
166,SAT-0,3.7184887,0.15954112
167,SAV-0,3.766884,0.10186519
168,SBE-0,3.231682,0.23391537
169,SBN-0,4.7625713,0.7373497
170,SBS-0,3.173969,0.17674708
171,SBT-0,3.144987,0.17576714
172,SEW-0,3.628742,0.13851467
173,SFE-0,3.7487357,0.108945996
174,SFF-0,3.7888117,0.0856952
175,SFG-0,3.6337738,0.10666431
176,SFH-0,3.5977955,0.11057814
177,SFN-0,3.633474,0.11345342
178,SFO-0,3.739517,0.14212099
179,SFS-0,3.6611397,0.09306736
180,SFV-0,3.6879323,0.1027132
181,SGT-0,3.747839,0.14755122
182,SIV-0,4.105617,0.20804536
183,SOD-0,3.5904167,0.39893356
184,SOF-0,3.9032652,0.17290375
185,SOS-0,4.13549,0.19593848
186,SSF-0,3.6348019,0.14718086
187,SSY-0,3.9056246,0.088016495
188,STF-0,3.812891,0.08401028
189,STI-0,4.0385776,0.29279095
190,STO-0,3.7421856,0.1046805
191,STT-0,3.8128054,0.07900286
192,STW-0,3.8556983,0.17221633
193,SVV-0,3.7772734,0.24551247
194,SZR-0,4.068806,0.15432896
195,TER-0,3.6168478,0.12959056
196,THO-0,4.0370693,0.23272468
197,TOL-0,3.9024475,0.31925106
198,TON-0,3.6982136,0.22469544
199,TSC-0,2.9108722,0.24807326
200,TUN-0,3.6968896,0.08723004
201,UEI-0,3.804206,0.29155347
202,UFI-0,3.668871,0.15397319
203,UOS-0,3.8861322,0.26313287
204,UOV-0,3.6349003,0.19161135
205,UOZ-0,3.8081558,0.31899676
206,USI-0,3.7479756,0.10015651
207,UTL-0,3.408108,0.2306276
208,UWY-0,3.586735,0.1161651
209,VET-0,4.191858,0.3499278
210,VFI-0,2.8418486,0.21003431
211,VNI-0,4.855966,0.37227798
212,VSV-0,4.446153,0.3150077
213,WEI-0,4.536776,0.30110046
214,YUG-0,4.3146443,0.20183925
215,ZON-0,3.818875,0.21385442
