,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,ABW-0,97.21250000000074,0.945300878027744,12.197419861472035,0.18804960294030773,5.390366063510483,0.14972748474377542
1,ACO-0,121.46250000000109,2.068174013471817,9.577309408767976,0.30137194732741013,4.128194984036125,0.36064028574508195
2,AEI-0,97.16250000000073,2.5946760395086326,9.129279552912779,0.17752170693840652,2.3144683438895575,0.2434894987650767
3,AEL-0,103.05000000000082,3.4500000000000495,5.366009645264242,0.0748917780140247,-1.0622121194853564,0.2623442829767332
4,AEN-0,101.7375000000008,1.545103151896361,7.463668157590414,0.12724700406072437,0.9584660292562862,0.19516663316885285
5,AET-0,84.31250000000057,7.920769770041406,6.942905990290595,0.18692860397301164,-0.9933890690325555,1.114879965002932
6,AFG-0,104.21250000000084,2.3708845922988657,7.1731862668192825,0.14082826068977963,0.8206055449321852,0.21494663866015543
7,AFI-0,87.13750000000061,7.733035868919897,7.232490962605231,0.1971332012096216,-0.4355230131493216,1.0136798247087584
8,AFN-0,98.37500000000077,2.3873363818281184,7.311800019279454,0.09562678357171832,0.5818863491855272,0.20325563894666301
9,AFO-0,101.93750000000081,3.323378363954418,5.411401973746067,0.0798283436756313,-1.0866211902409502,0.26194449522167124
10,AFR-0,92.47500000000068,3.1558477466443615,9.682374410401827,0.15214558565762915,2.519015582237868,0.25057025115298337
11,AFS-0,92.40000000000067,2.277059507347171,10.143000962193266,0.4695823579800036,2.977764726987087,0.3579884235434672
12,AFT-0,92.06250000000067,3.2522828520902514,9.31097971838102,0.1956210029966506,2.114911399060836,0.22648138468234918
13,AFV-0,97.76250000000076,2.8447045101381296,8.478637147855142,0.14016524897591412,1.7047533782059423,0.13996319408518257
14,AFX-0,89.00000000000063,4.778074926160186,9.222872438330647,0.18264123865749368,1.76687929725171,0.38277895298709086
15,AFY-0,100.3125000000008,2.5871980500147593,11.143182256432985,0.5820260763728861,4.542730692052747,0.5278907548871766
16,AHT-0,84.07500000000056,0.4918078893226584,9.696953773431126,0.24321010231136744,1.8266967133068355,0.2538695937453951
17,ANA-0,101.1875000000008,1.0611756452162058,10.594878033458425,0.2967311672808443,4.055113108418179,0.3326562187820962
18,APC-0,112.47500000000095,1.0461237976454005,7.520908861598157,0.20015316292345517,1.6375850145732458,0.18948812905854992
19,APD-0,128.6875000000012,0.869536514471945,7.465057766502323,0.12760637739597228,2.323147637851851,0.14554131734008416
20,AST-0,106.88750000000088,3.9879310111886905,7.7725855396667844,0.09775375484272486,1.5733427044498227,0.23638474751656852
21,ASV-0,116.82500000000103,1.6176758018837007,5.388190959326253,0.09115728271207402,-0.27665462426436316,0.11686120749793281
22,ATN-0,58.800000000000196,8.347304954295247,5.914044524682903,0.1431479182255277,-5.605001726956302,1.8615738210820916
23,ATO-0,102.4750000000008,21.945714274090367,4.264051256912842,0.1396059081761299,-2.809480109842374,2.76258353922997
24,ATS-0,85.52500000000057,1.30838641081297,8.49541398255066,0.18326475629724906,0.7570382602471415,0.21022654522859913
25,ATT-0,110.22500000000093,3.1799174517588185,7.529104039113081,0.3069287564768756,1.5212555334228635,0.27488972756614094
26,ATV-0,126.78750000000116,1.0092540562217378,5.7036297191950585,0.09242819133451177,0.48457341119281594,0.10895906022854907
27,AVL-0,94.18750000000068,5.0454032296735924,7.988641332745344,0.10115425941984516,0.9426572268212782,0.43416289052811385
28,AWO-0,128.4125000000012,2.6445403664909697,5.4402361089146565,0.15438034996402528,0.2853141108686751,0.22309532423584003
29,AWW-0,96.57500000000073,3.742909964185677,7.426881175509211,0.13126008998222363,0.5648950536655697,0.3498328736745909
30,BCT-0,66.40000000000032,2.5455844122716074,8.836513880725885,0.41514365790925734,-1.144272724381185,0.3047194971482511
31,BEA-0,84.90000000000057,7.75661008430885,8.909289793916853,0.1495595852203824,1.0379894227788886,0.7990157476555501
32,BEC-0,82.03750000000053,7.313162363164208,9.474914538192726,0.18318506933873557,1.3320821804285603,0.7868518377941506
33,BIK-0,93.53750000000069,1.3443748547187504,7.959614312418337,0.11953132875786357,0.8842946291578342,0.1269292188543429
34,BOF-0,115.50000000000101,16.174980680050517,5.429634635472861,0.16019934849800907,-0.46295647214583646,1.2255643522308723
35,BOG-0,88.63750000000061,7.747570183612519,8.787629017386164,0.24082905429797444,1.252857218267757,1.0133285468766982
36,BOZ-0,82.70000000000054,2.812472222085089,11.399004811556091,0.22040512309034063,3.3885861039239025,0.43557203998113825
37,BPH-0,84.82500000000057,7.28023866367041,9.872433065875576,0.23990680154814528,2.002574253476511,1.0071048614087719
38,BRE-0,71.76250000000039,8.146462038824088,6.597115747070726,0.3509954551507323,-2.7227037956167957,1.1010842080040628
39,BSV-0,104.22500000000085,1.9031224343168538,7.508397272749496,0.15941936649855715,1.1577922705192463,0.21806060170897945
40,CAS-0,129.51250000000118,0.9157476453696305,5.645240823310926,0.09334188418482434,0.5360628265949741,0.11833045978686099
41,CDO-0,65.88750000000029,8.142548357240617,5.99020748808982,0.1858705778973317,-4.262233697364773,1.8266979787470894
42,CFI-0,80.16250000000049,1.6385492821395613,10.132573820541163,0.36002836338146915,1.8750126593480443,0.34938364401357763
43,CGF-0,121.3125000000011,2.2318364075353143,5.002416763698552,0.15375861041422356,-0.45367023604394785,0.12709214284584597
44,CGS-0,93.22500000000068,3.3379447269240887,8.000694629578557,0.06433866987459803,0.8941025844542945,0.2872943152663201
45,CON-0,92.27500000000067,1.9854155736268675,9.055887509546235,0.31648258171307064,1.8820271419184453,0.2197540278513406
46,CSV-0,94.8625000000007,2.0260413988860457,8.9358485408605,0.26563287919321954,1.9576486285108337,0.20767375386446463
47,CZP-0,117.07500000000103,0.7171994143890593,8.546840682676763,0.09251891309512547,2.894960274855526,0.09875352222095721
48,DAC-0,124.27500000000113,2.560151362712798,6.428264224510473,0.20071288660423864,1.1017443535369074,0.17647481463580242
49,DDR-0,119.05000000000103,1.8076227482525455,6.9336340076333896,0.13408544362689578,1.3744535960341084,0.14908118015743554
50,DFO-0,87.48750000000061,1.3986042149228826,10.040135205220002,0.30855044650050395,2.475218339696286,0.3249518153437852
51,DFT-0,130.3375000000012,0.98226460284387,7.348542361942558,0.08604039273130092,2.2716704334373605,0.08813487997597948
52,DOH-0,138.5625000000013,2.0167656656141624,6.651983921925603,0.17561984037115028,1.8757293362873646,0.15677727287699839
53,DON-0,84.35000000000056,7.287489279580557,7.574065510467266,0.24882905901015862,-0.3424733930988503,1.0496096000240414
54,EAB-0,99.70000000000077,3.54859126978585,7.834733670445184,0.07813275667433325,1.1895992883101796,0.25844244472791983
55,EDI-0,90.80000000000064,35.81965242712492,7.011304370367951,1.5304237103588738,-1.6806779563297773,2.339236663911204
56,EEI-0,95.37500000000071,2.384716964337733,7.072138632525613,0.12315674605915634,0.1302961658877585,0.15226473403730958
57,EMT-0,78.81250000000048,6.726893320842935,11.674834688776889,0.34462981119483077,3.2044426477885555,1.1635229782558734
58,EON-0,85.13750000000056,6.177163082678089,7.489136360500485,0.12406636033574552,-0.3224753555654176,0.6281079857472186
59,EPI-0,125.61250000000115,1.346697349072924,6.5353560143333915,0.14701220995443848,1.2672120489360341,0.16917032201243026
60,ERI-0,93.8000000000007,2.605762844159114,8.044050129769559,0.08619717460092521,0.9844899501243563,0.1408929247073115
61,ESV-0,108.30000000000089,2.2885584982691918,7.360203284280975,0.18180842573779246,1.2478583759061652,0.1912800436707575
62,ETL-0,97.73750000000075,3.8700573316167333,7.534093497668006,0.27409083178399085,0.753086827139033,0.4622941250199826
63,ETR-0,89.72500000000063,2.8230081473492454,9.177994957467426,0.29453306346561947,1.7964627718648767,0.18765588058979413
64,EUO-0,93.8500000000007,1.8520259177452376,7.697597875051334,0.14806352820388638,0.6445918230783808,0.14463553221416675
65,EWS-0,100.9000000000008,2.7892651361963074,7.011584839750665,0.06625237816216904,0.4487464560517467,0.15439551220640083
66,EZT-0,97.55000000000075,10.545496669195016,6.436595585030844,0.0842524072878666,-0.44736625031554245,0.87073213896687
67,FAR-0,88.6875000000006,13.287723422392755,6.377776321589872,0.22333149896303298,-1.2425410554009921,1.1940001872475388
68,FAU-0,76.58750000000045,6.162271801048788,12.058612266265131,0.4138042261681678,3.3521710614431472,1.1945058277144898
69,FER-0,112.91250000000095,3.171528614091361,6.115814660913177,0.0844191503505473,0.2511479490846428,0.17110226535503706
70,FRA-0,116.72500000000102,3.365542303998024,6.452897056552,0.12086171342593259,0.7794924941309358,0.24039973719208343
71,GIS-0,99.75000000000077,5.9173473786825275,7.859472404679968,0.4311943213418308,1.2004385662379526,0.6679471506738341
72,GIU-0,97.12500000000074,7.0967862444913345,6.718942064045775,0.19637217714620211,-0.131548890627872,0.644248967009134
73,GME-0,81.1375000000005,5.308469058966133,9.486241924561728,0.20142117423202355,1.294945753804947,0.6830395416115397
74,GON-0,100.9500000000008,1.9918584287042382,5.285036351679982,0.07803256698854844,-1.2719641307971692,0.1319459824475156
75,GOO-0,68.56250000000033,23.314691585993916,5.183087855696182,0.18988735050387023,-5.569599242755604,3.299008754711136
76,HEU-0,117.13750000000103,17.67886715120652,5.64854578600989,0.2788778905633648,-0.18482138866074682,1.3135822257046788
77,IFO-0,83.11250000000054,2.3687747360186386,8.839267662405353,0.3329402752845553,0.8712904448523573,0.5709004848543269
78,IFR-0,97.32500000000074,2.424226680820127,7.750619668627119,0.13704566822409095,0.9478404476475879,0.13131719997230198
79,IFW-0,91.81250000000068,1.8817794105580232,9.01918730694171,0.3596634201578835,1.8095087334486744,0.25799456460698383
80,IFY-0,104.06250000000085,1.6377862345251508,8.353326874392245,0.1485615436537029,1.993333025455775,0.22183826484188487
81,IHW-0,79.6750000000005,6.120406440752208,6.657234730621894,0.16624689189987227,-1.6903176579160935,0.6928213636834046
82,IMF-0,108.9375000000009,2.555355894978269,6.40609658013078,0.16228867045836684,0.32880957061036953,0.20715168357090133
83,IRN-0,94.3250000000007,1.5856780883899706,9.770997372148273,0.27873683807610267,2.754241129264281,0.22241692233012011
84,IRR-0,70.72500000000038,5.236828715931119,13.33988283026866,0.5802191981078453,3.928263848726743,1.0645431656760616
85,IRY-0,72.01250000000039,5.416511215718181,14.59738285291358,0.5958834829080539,5.349850785648998,1.2036448090762417
86,ISV-0,78.83750000000047,7.0024883969915575,9.955920596376565,0.15002332960005507,1.4865732363301718,0.8374328606400432
87,ITE-0,98.96250000000076,2.774859230663822,8.336421701640614,0.12471102677825062,1.64497932285895,0.23934756985512645
88,ITG-0,92.22500000000066,2.220219583734939,8.22950207113831,0.15453206713729642,1.0508791897387604,0.16438708717722583
89,ITH-0,101.91250000000079,1.9789122643513335,6.974622001414266,0.16565319819203067,0.4796597187805959,0.15666257541523268
90,ITR-0,100.8875000000008,2.4583721748344316,7.0355912255187585,0.0970164599993866,0.47313683411219853,0.17087647868625258
91,ITT-0,75.58750000000045,6.0459568101336165,11.779754788281128,0.4504992758448427,2.9601337166590085,1.056378649645157
92,ITW-0,113.42500000000098,1.9122957407263426,8.652786871130973,0.19124194344256495,2.8176046244005493,0.15906102364619684
93,IWR-0,86.5125000000006,7.799589332138053,9.036994962254914,0.11905125311296663,1.3127516944281734,0.8763958987949313
94,IWS-0,82.67500000000052,6.9954896183184605,10.290953925193518,0.28516539626295634,2.217199416892999,1.0601993111770232
95,IWV-0,82.55000000000052,7.022997935355057,10.068603095084335,0.2592462043546922,1.9823623933297636,1.0481377040115407
96,IWW-0,79.53750000000048,6.518998676944276,7.9422971548716035,0.120044885137624,-0.436190659250108,0.6789775868330977
97,JBW-0,101.9625000000008,1.1379120132945428,8.42550534042691,0.13652708903076727,1.935361245642693,0.19850644639972867
98,JNT-0,124.97500000000115,1.242728852163674,4.881490858328831,0.06104045186931053,-0.41344542961234476,0.06583894039835779
99,JOZ-0,102.78750000000082,11.0190105612983,5.911987825130169,0.23614195915803166,-0.6182711310397285,0.9727772929801197
100,JRY-0,115.72500000000102,1.445467052547396,6.725647666029717,0.13077351687487446,1.0071636595897888,0.1331693830679195
101,JSR-0,86.02500000000057,3.581113653600006,12.327839981991914,0.6681430363553388,4.621973451153416,0.9692522973230167
102,JST-0,100.66250000000079,1.9937010182071218,11.785931046358696,0.41957465051807635,5.210293660301747,0.29872633731110226
103,JSW-0,85.42500000000058,6.779150020467263,6.619511590635799,0.3123645020354253,-1.1714013151765394,0.7417046482410942
104,KFI-0,89.00000000000063,1.7478558292948774,10.806003056858492,0.23276983215576558,3.368676811992602,0.19724926336491574
105,LAU-0,85.45000000000059,18.179315168619787,5.665440103564308,0.12311111272328723,-2.408943471162026,1.543159138668547
106,LEV-0,100.82500000000078,2.954551573420281,7.881201257557305,0.06197143035948604,1.3129092336381727,0.17271755763604432
107,LIO-0,126.37500000000117,1.260704168312313,6.7442384208619295,0.11056418905274071,1.5079587169469122,0.1374780916649891
108,LOS-0,113.95000000000097,2.827543103119782,6.842633408889115,0.20572801118475562,1.0324228286694899,0.1928365789135812
109,LOV-0,110.55000000000094,1.4620191517213668,10.445740171091266,0.16893560127918167,4.459452693583057,0.18393283667197602
110,LTA-0,85.60000000000058,7.7354702507347115,10.934320662850299,0.29761636950083303,3.1269023159480387,1.1112928983957415
111,LTF-0,81.50000000000053,5.550000000000075,7.910159715557149,0.1380998083208239,-0.24465919222048416,0.5537274583926997
112,LTJ-0,106.78750000000088,0.588297331287512,7.928660677714529,0.17169443982862725,1.7323426706182743,0.16229641267526393
113,LTL-0,90.42500000000064,1.300720953932874,7.459587514131873,0.2805977730377825,0.14075360758196387,0.21880883142375065
114,LTN-0,91.58750000000066,9.23572378051674,6.6306400583764455,0.1694818197208046,-0.667819840559158,0.809820275797702
115,MAR-0,106.98750000000089,13.759945266969831,5.842793509900502,0.25540135590826846,-0.4601035594839238,1.0039169636111205
116,MAZ-0,70.95000000000036,2.73724313863424,7.5272351989622255,0.23437337212277065,-1.812933159421793,0.20554225423979508
117,MEI-0,82.51250000000053,7.311367433661199,9.736715592702097,0.18283759843442532,1.6428138056930381,0.7564744341356172
118,MEL-0,105.23750000000085,2.8878787630370213,6.528669138323479,0.08502465553943847,0.23635965165877215,0.17547844191140882
119,MEP-0,135.32500000000127,5.339182989934019,6.022314640771632,0.27027267815073924,1.1246811297274353,0.14479165902111762
120,MER-0,104.76250000000086,2.248853874754905,8.972642053666027,0.34777050084163863,2.65378774598699,0.3427211739498107
121,MFI-0,113.58750000000097,2.518649191531085,6.1913255703678844,0.14089587488683025,0.3632702696582415,0.2163014525653758
122,MFS-0,92.82500000000067,4.217745250723482,7.178474084473692,0.09311708044049227,0.035436170889506236,0.3928962518718355
123,MON-0,98.88750000000076,1.0635289135703039,12.19759289730205,0.15558223016225425,5.505699006861129,0.11769114681146983
124,MOR-0,101.63750000000081,2.7032098975107717,7.113335452723617,0.12043560982083702,0.5985571478483414,0.22409561349124807
125,MOZ-0,94.42500000000071,2.8450615107586374,6.870873068728269,0.11628828618009844,-0.14279925893662593,0.16292286345290005
126,MRE-0,45.0,0.0,4.858670046424505,0.15179154018959995,-9.845091213030765,0.15179154018959992
