,Zeolite,"Heat of adsorption (92.4 K, 1.0 bar)","Heat of adsorption error (92.4 K, 1.0 bar)"
0,ABW-0,7.369181,0.21122585
1,ACO-0,7.650478,0.2998205
2,AEI-0,5.6561255,0.19586392
3,AEL-0,6.5261974,0.30936214
4,AEN-0,7.1459217,0.39224333
5,AET-0,5.0280814,0.2856396
6,AFG-0,6.564062,0.18190426
7,AFI-0,5.1581554,0.29092556
8,AFN-0,6.530725,0.23730296
9,AFO-0,6.4509773,0.30461943
10,AFR-0,5.471139,0.2225055
11,AFS-0,5.202956,0.31996801
12,AFT-0,5.540312,0.17742985
13,AFV-0,5.7954426,0.19416663
14,AFX-0,5.520861,0.1754173
15,AFY-0,5.66839,0.29413965
16,AHT-0,7.178195,0.73476106
17,ANA-0,7.8553557,0.5219595
18,APC-0,7.3956833,0.12586021
19,APD-0,7.9299574,0.32800213
20,AST-0,6.076492,0.13083868
21,ASV-0,6.9235735,0.1859421
22,ATN-0,6.577628,0.3800504
23,ATO-0,6.0744605,0.3001012
24,ATS-0,5.2661676,0.20037983
25,ATT-0,6.7621965,0.17103596
26,ATV-0,7.9199123,0.32076478
27,AVL-0,5.8477917,0.17622094
28,AWO-0,7.7586837,0.4131787
29,AWW-0,6.1386795,0.1976875
30,BCT-0,7.346543,1.887134
31,BEA-0,4.9662743,0.22255461
32,BEC-0,4.8025575,0.21009032
33,BIK-0,6.884619,0.25430048
34,BOF-0,6.5421467,0.21955779
35,BOG-0,5.2613406,0.24461266
36,BOZ-0,4.851157,0.23469418
37,BPH-0,4.9729195,0.25654572
38,BRE-0,6.6724834,0.34425992
39,BSV-0,6.802822,0.29104662
40,CAS-0,7.998636,0.37850818
41,CDO-0,6.180115,0.14210488
42,CFI-0,5.5690255,0.27807298
43,CGF-0,7.3151054,0.38483393
44,CGS-0,6.1958632,0.21172228
45,CON-0,5.2330365,0.25201568
46,CSV-0,5.474543,0.25616732
47,CZP-0,7.895627,0.28070953
48,DAC-0,6.942488,0.27401003
49,DDR-0,6.7788367,0.2669224
50,DFO-0,5.037077,0.2563233
51,DFT-0,7.9381123,0.28631356
52,DOH-0,7.245079,0.38605878
53,DON-0,4.9605646,0.30933353
54,EAB-0,5.969846,0.2064878
55,EDI-0,6.1918726,0.76764566
56,EEI-0,6.29743,0.22897959
57,EMT-0,4.3311357,0.19471782
58,EON-0,5.835638,0.16562833
59,EPI-0,7.1878986,0.21728499
60,ERI-0,5.639584,0.18357351
61,ESV-0,6.873422,0.26968864
62,ETL-0,6.9190655,0.28235808
63,ETR-0,5.2314057,0.27297002
64,EUO-0,5.8868647,0.20373666
65,EWS-0,5.8575573,0.204418
66,EZT-0,5.6301794,0.2161703
67,FAR-0,6.5889096,0.18872288
68,FAU-0,4.313397,0.20613538
69,FER-0,6.420603,0.17771116
70,FRA-0,6.33677,0.19618304
71,GIS-0,6.584573,0.18202417
72,GIU-0,6.5753846,0.21245003
73,GME-0,5.4570208,0.17478853
74,GON-0,6.1096845,0.23932981
75,GOO-0,6.765805,0.23260075
76,HEU-0,6.728906,0.2969511
77,IFO-0,5.045145,0.29889524
78,IFR-0,5.583561,0.22375935
79,IFW-0,5.383033,0.2834671
80,IFY-0,6.5595202,0.2400253
81,IHW-0,6.0882845,0.18215944
82,IMF-0,6.022642,0.27886075
83,IRN-0,5.558297,0.23955214
84,IRR-0,3.9006112,0.21725203
85,IRY-0,3.9490433,0.20444085
86,ISV-0,4.846359,0.23528248
87,ITE-0,5.720576,0.18713622
88,ITG-0,5.443444,0.21803056
89,ITH-0,5.97501,0.2479592
90,ITR-0,5.9460073,0.20586021
91,ITT-0,4.062242,0.2236548
92,ITW-0,7.0816765,0.22956283
93,IWR-0,5.159774,0.20046358
94,IWS-0,4.793587,0.22117679
95,IWV-0,4.847508,0.23480201
96,IWW-0,5.381672,0.17783977
97,JBW-0,7.235499,0.33264732
98,JNT-0,7.74079,0.23228432
99,JOZ-0,6.460374,0.15827952
100,JRY-0,7.0594497,0.24452847
101,JSR-0,4.804867,0.25261667
102,JST-0,6.4456143,0.24556682
103,JSW-0,6.568257,0.22081158
104,KFI-0,5.693987,0.25380665
105,LAU-0,6.2116723,0.1210558
106,LEV-0,5.889208,0.20342197
107,LIO-0,7.3332715,0.34103927
108,LOS-0,6.779749,0.16015336
109,LOV-0,7.22134,0.20653287
110,LTA-0,4.985481,0.23711851
111,LTF-0,5.878847,0.20083515
112,LTJ-0,7.4985356,0.21880299
113,LTL-0,5.281795,0.32194236
114,LTN-0,6.066958,0.16513163
115,MAR-0,6.8957157,0.26291472
116,MAZ-0,5.5409145,0.24014898
117,MEI-0,4.9294863,0.20028926
118,MEL-0,5.873411,0.24009378
119,MEP-0,7.513089,0.5866121
120,MER-0,6.7707,0.19695053
121,MFI-0,6.5526013,0.19851136
122,MFS-0,5.97709,0.15806144
123,MON-0,7.305636,0.17186864
124,MOR-0,6.1420693,0.1715342
125,MOZ-0,5.6424274,0.2063435
126,MRE-0,6.2784204,0.19147962
127,MSE-0,5.357678,0.229095
128,MSO-0,6.0925436,0.3160472
129,MTF-0,6.820416,0.27791375
130,MTN-0,7.3428087,0.42825824
131,MTT-0,6.3755236,0.2698262
132,MTW-0,6.083133,0.26455915
133,MVY-0,6.4717007,1.3290126
134,MWF-0,6.7854185,0.2655061
135,MWW-0,5.516159,0.28459293
136,NAB-0,6.4558115,0.2907417
137,NAT-0,6.5751977,0.24626441
138,NES-0,5.726741,0.27259246
139,NON-0,6.2397685,0.22232778
140,NPO-0,6.648814,0.30872825
141,NPT-0,4.9624515,0.24314879
142,NSI-0,7.4773884,0.26897377
143,OBW-0,4.7684608,0.23215389
144,OFF-0,5.6256857,0.2085187
145,OKO-0,5.6250305,0.20415911
146,OSI-0,6.2208104,0.26005745
147,OSO-0,5.326327,0.32321414
148,OWE-0,6.3231225,0.14508595
149,PAU-0,6.672811,0.16903508
150,PCR-0,6.785892,0.25775933
151,PHI-0,6.9338818,0.2675917
152,PON-0,6.6650434,0.21738218
153,POS-0,5.156871,0.2665492
154,PSI-0,6.5072927,0.31307796
155,PUN-0,5.9266806,0.29250327
156,RHO-0,5.6116204,0.19111396
157,RRO-0,6.818315,0.24678487
158,RSN-0,7.1164165,0.34521982
159,RTE-0,6.36643,0.23675597
160,RTH-0,6.060907,0.2656995
161,RWR-0,7.832377,0.2385674
162,RWY-0,3.8977835,0.22214493
163,SAF-0,5.6130266,0.16024353
164,SAO-0,4.7291203,0.21280156
165,SAS-0,5.3920536,0.24677569
166,SAT-0,5.4682026,0.2440311
167,SAV-0,5.5268455,0.24264441
168,SBE-0,4.609484,0.19952373
169,SBN-0,7.5113626,0.11348622
170,SBS-0,4.4617653,0.21041647
171,SBT-0,4.4403176,0.19903964
172,SEW-0,5.6677103,0.24395646
173,SFE-0,5.4654913,0.21325758
174,SFF-0,5.8649774,0.23574227
175,SFG-0,5.638582,0.22130896
176,SFH-0,4.9414687,0.21149637
177,SFN-0,5.0309477,0.19532137
178,SFO-0,5.437436,0.21551067
179,SFS-0,5.578706,0.22622582
180,SFV-0,5.968905,0.22810361
181,SGT-0,6.256166,0.20859097
182,SIV-0,6.7987156,0.22127703
183,SOD-0,6.752123,0.25616795
184,SOF-0,6.2751713,0.2653923
185,SOS-0,5.8256946,0.26252875
186,SSF-0,5.2184563,0.27029577
187,SSY-0,5.5823035,0.23581456
188,STF-0,5.899449,0.21125677
189,STI-0,6.0243616,0.19026715
190,STO-0,5.7534933,0.15343486
191,STT-0,5.950485,0.20643109
192,STW-0,6.4453516,0.20612274
193,SVV-0,6.5878577,0.17320588
194,SZR-0,6.0129523,0.17134206
195,TER-0,5.9476557,0.27579254
196,THO-0,6.41164,0.281564
197,TOL-0,7.1660476,0.30508676
198,TON-0,6.4332833,0.2399363
199,TSC-0,4.1985435,0.19863968
200,TUN-0,5.8783026,0.25525898
201,UEI-0,7.215191,0.43804523
202,UFI-0,5.4335566,0.23753816
203,UOS-0,6.6888986,0.19690979
204,UOV-0,5.336954,0.21251531
205,UOZ-0,7.206868,0.3445242
206,USI-0,5.427463,0.21877599
207,UTL-0,4.896556,0.2597159
208,UWY-0,5.5067563,0.26796716
209,VET-0,5.850425,0.26900008
210,VFI-0,4.125097,0.18448819
211,VNI-0,7.088945,0.3235989
212,VSV-0,6.7275753,0.27989098
213,WEI-0,6.7033796,0.22559276
214,YUG-0,6.652609,0.22487761
215,ZON-0,6.5396905,0.28678876
