,Zeolite,"Heat of adsorption (275.9 K, 1.0 bar)","Heat of adsorption error (275.9 K, 1.0 bar)"
0,ABW-0,6.7745233,1.2827333
1,ACO-0,7.4568114,0.47382644
2,AEI-0,5.793787,1.1343753
3,AEL-0,6.302262,0.93934053
4,AEN-0,6.748415,0.9926769
5,AET-0,5.33004,1.04111
6,AFG-0,6.2889743,1.1576165
7,AFI-0,5.4703274,1.0454587
8,AFN-0,6.216667,1.1533856
9,AFO-0,6.2488484,0.96703726
10,AFR-0,5.643091,1.2169747
11,AFS-0,5.480123,1.0133363
12,AFT-0,5.660073,1.2479497
13,AFV-0,5.843199,1.1380914
14,AFX-0,5.593727,1.3686175
15,AFY-0,5.87088,0.9616354
16,AHT-0,5.5874724,2.7204342
17,ANA-0,7.7224274,1.5512165
18,APC-0,7.2439656,0.9979998
19,APD-0,7.7635493,0.9549822
20,AST-0,6.0387588,1.1110402
21,ASV-0,6.7313323,0.79143965
22,ATN-0,6.634028,1.2718493
23,ATO-0,6.169195,0.83219826
24,ATS-0,5.4485335,1.3324203
25,ATT-0,6.4938254,1.0423344
26,ATV-0,7.732037,0.98500526
27,AVL-0,5.829809,1.246455
28,AWO-0,7.576737,0.37025708
29,AWW-0,6.0004296,1.2071419
30,BCT-0,9.513999,4.5150013
31,BEA-0,5.333708,1.1395946
32,BEC-0,5.2220016,1.2001349
33,BIK-0,6.304119,1.3275537
34,BOF-0,6.5276237,0.8842487
35,BOG-0,5.525738,1.0879828
36,BOZ-0,5.2115073,1.2556494
37,BPH-0,5.342051,1.1238586
38,BRE-0,6.034431,1.56899
39,BSV-0,6.4636827,1.0185107
40,CAS-0,7.875032,1.0416744
41,CDO-0,6.0170484,1.2731439
42,CFI-0,5.2210603,1.9363568
43,CGF-0,6.999628,0.6114187
44,CGS-0,5.944891,1.2886089
45,CON-0,5.512369,1.0779903
46,CSV-0,5.6789546,1.1149911
47,CZP-0,7.643395,1.0778095
48,DAC-0,6.839665,0.7300128
49,DDR-0,6.612472,0.70572174
