,Zeolite,"Heat of adsorption (92.4 K, 30.0 bar)","Heat of adsorption error (92.4 K, 30.0 bar)"
0,ABW-0,7.137883,0.18515307
1,ACO-0,6.8790193,0.69119
2,AEI-0,5.358755,0.12813295
3,AEL-0,6.200554,0.1388125
4,AEN-0,6.873569,0.18886371
5,AET-0,4.78512,0.19689226
6,AFG-0,6.0908074,0.1055857
7,AFI-0,4.918853,0.12418339
8,AFN-0,6.242685,0.1245394
9,AFO-0,6.1506896,0.12665781
10,AFR-0,5.1494465,0.13361035
11,AFS-0,4.96604,0.09789101
12,AFT-0,5.2269564,0.17101425
13,AFV-0,5.5320077,0.13578174
14,AFX-0,5.1248236,0.259165
15,AFY-0,5.4682627,0.08869394
16,AHT-0,6.447439,0.14924686
17,ANA-0,7.55039,0.3623819
18,APC-0,7.7116694,0.30242696
19,APD-0,11.480543,4.4064827
20,AST-0,5.5697775,0.118910514
21,ASV-0,6.288157,0.15104306
22,ATN-0,5.52375,0.24026363
23,ATO-0,5.585949,0.25156623
24,ATS-0,5.008537,0.18744883
25,ATT-0,6.0374565,0.10517415
26,ATV-0,10.859337,3.2051096
27,AVL-0,5.472553,0.17236297
28,AWO-0,6.5823145,0.9804667
29,AWW-0,5.771347,0.13461997
30,BCT-0,5.9504137,0.43120086
31,BEA-0,4.645058,0.1772979
32,BEC-0,4.5362167,0.20716108
33,BIK-0,6.585944,0.21071646
34,BOF-0,5.596272,0.27345115
35,BOG-0,4.9884663,0.1430094
36,BOZ-0,4.621885,0.19395588
37,BPH-0,4.6896267,0.16121076
38,BRE-0,5.8864923,0.37499958
39,BSV-0,6.451554,0.15296632
40,CAS-0,15.062597,12.08341
41,CDO-0,5.535886,0.24454537
42,CFI-0,5.3061986,0.23785484
43,CGF-0,6.4458637,0.181087
44,CGS-0,5.9016476,0.13589783
45,CON-0,4.987463,0.13879046
46,CSV-0,5.252973,0.12199332
47,CZP-0,9.0882015,1.1429894
48,DAC-0,5.927961,0.30741647
49,DDR-0,6.2529354,0.17083508
50,DFO-0,4.7749834,0.1655762
51,DFT-0,9.535582,1.6043571
52,DOH-0,6.1143947,0.45097318
53,DON-0,4.6853514,0.13331124
54,EAB-0,5.64498,0.13142419
55,EDI-0,4.632992,0.8048372
56,EEI-0,6.047232,0.11701504
57,EMT-0,4.0188,0.12182529
58,EON-0,5.432309,0.20567523
59,EPI-0,6.367505,0.32622108
60,ERI-0,5.362238,0.16927758
61,ESV-0,6.409711,0.11433734
62,ETL-0,6.4632196,0.1311795
63,ETR-0,4.9688387,0.13934612
64,EUO-0,5.6725616,0.150143
65,EWS-0,5.4898086,0.10643208
66,EZT-0,5.2116966,0.1380861
67,FAR-0,5.9333687,0.14798318
68,FAU-0,4.000177,0.111365035
69,FER-0,5.889099,0.11291473
70,FRA-0,5.676667,0.19390768
71,GIS-0,6.0564013,0.18037559
72,GIU-0,6.050705,0.11360251
73,GME-0,5.08787,0.27725658
74,GON-0,5.839328,0.0980491
75,GOO-0,5.9540243,0.14072022
76,HEU-0,5.575407,0.3478868
77,IFO-0,4.824766,0.17602329
78,IFR-0,5.3287683,0.11256682
79,IFW-0,5.161512,0.13174158
80,IFY-0,6.210604,0.11667445
81,IHW-0,5.6527166,0.22750568
82,IMF-0,5.6902304,0.14231396
83,IRN-0,5.3550224,0.15570897
84,IRR-0,3.4350753,0.076905705
85,IRY-0,3.4980104,0.069611676
86,ISV-0,4.6185913,0.23340212
87,ITE-0,5.3678136,0.14023271
88,ITG-0,5.173826,0.1461134
89,ITH-0,5.727956,0.1161232
90,ITR-0,5.6458836,0.099854544
91,ITT-0,3.6504393,0.104918465
92,ITW-0,7.1080246,0.20234714
93,IWR-0,4.8633413,0.1990727
94,IWS-0,4.527635,0.16376314
95,IWV-0,4.580723,0.15317577
96,IWW-0,5.0449166,0.25623742
97,JBW-0,7.143572,0.19905497
98,JNT-0,9.255927,1.28955
99,JOZ-0,5.7699304,0.16958587
100,JRY-0,6.4405947,0.14357841
101,JSR-0,4.502097,0.13238111
102,JST-0,6.2193217,0.13322468
103,JSW-0,6.08508,0.1665684
104,KFI-0,5.479822,0.1945891
105,LAU-0,5.5360813,0.16811253
106,LEV-0,5.5648723,0.09567617
107,LIO-0,6.489502,0.26214245
108,LOS-0,6.0743217,0.087506235
109,LOV-0,7.4134717,0.18816878
110,LTA-0,4.708506,0.19820996
111,LTF-0,5.4784007,0.26689783
112,LTJ-0,7.610485,0.3135506
113,LTL-0,5.0699115,0.13153826
114,LTN-0,5.6536427,0.1739485
115,MAR-0,6.115711,0.09809167
116,MAZ-0,5.132918,0.30303207
117,MEI-0,4.645526,0.21843103
118,MEL-0,5.5264063,0.10418005
119,MEP-0,6.0670023,0.27549657
120,MER-0,6.241917,0.14566453
121,MFI-0,6.105464,0.124447405
122,MFS-0,5.6194077,0.1695757
123,MON-0,7.137238,0.1619512
124,MOR-0,5.759907,0.12372992
125,MOZ-0,5.3773255,0.13291489
126,MRE-0,5.5348697,0.23203224
127,MSE-0,5.100212,0.1700894
128,MSO-0,5.919034,0.16254735
129,MTF-0,6.340704,0.13745767
130,MTN-0,6.1380906,0.41987827
131,MTT-0,6.1019506,0.116929196
132,MTW-0,5.564641,0.30479896
133,MVY-0,5.2091427,0.28347397
134,MWF-0,5.909644,0.16728373
135,MWW-0,5.2453513,0.08021259
136,NAB-0,6.117734,0.18663633
137,NAT-0,6.2536263,0.1510407
138,NES-0,5.5693827,0.12772588
139,NON-0,5.8854036,0.14903076
