,Zeolite,"Heat of adsorption (92.4 K, 1.0 bar)","Heat of adsorption error (92.4 K, 1.0 bar)"
0,8056830,3.9092345,0.21674486
1,8080784,5.757381,0.23238249
2,8087188,5.0696487,0.25388303
3,8206103,5.195538,0.23588179
4,8206155,6.1870904,0.19808507
5,8206186,5.3637424,0.23314716
6,8214411,6.2084174,0.30120704
7,8255418,5.308919,0.22131643
8,8265201,4.083513,0.19591969
9,8265611,4.8628464,0.21069591
10,8265828,5.1406236,0.23745953
11,8267423,5.36073,0.19340602
12,8268490,5.8523645,0.15085173
13,8268700,6.3881183,0.23713578
14,8274307,5.4561324,0.17593832
15,8283850,6.1806617,0.1737521
16,8287620,5.5342665,0.2054037
17,8287803,5.3813276,0.2073101
18,8289148,5.7760725,0.25322264
19,8289716,5.440972,0.24432704
20,8292668,4.7081695,0.20193914
21,8292962,5.4452863,0.18558393
22,8293280,6.8122606,0.26526764
23,8312155,5.1012583,0.3204605
24,8312223,4.8080196,0.2493733
25,8313037,5.1517982,0.2805472
26,8313042,5.1685977,0.25132206
27,8315144,5.6070547,0.15888108
28,8318459,5.4843717,0.2254736
29,8319320,5.0144815,0.2612017
30,8321874,6.7708,0.2952004
31,8322959,6.0195236,0.3621597
32,8325096,5.403177,0.22448644
33,8326559,5.693835,0.17676537
34,8326730,5.462394,0.25822437
35,8326866,5.3039165,0.2552663
36,8329937,6.7338305,0.2961809
37,8067418,5.0959735,0.16983241
38,8078629,4.9220595,0.2802918
39,8084708,4.8969984,0.24135706
40,8133379,6.2321644,0.13844623
41,8194023,5.220565,0.19452155
42,8268600,5.545395,0.19056056
43,8286937,4.2456894,0.19540566
44,8287056,5.0606017,0.30153438
45,8298667,5.5394087,0.32000852
46,8301472,6.66599,0.2449835
47,8307693,4.508373,0.20349316
48,8312978,5.1559157,0.26893768
49,8315436,5.610452,0.28927955
50,8315703,5.296671,0.200492
51,8316304,5.146014,0.19034788
52,8316376,3.88338,0.20316397
53,8317141,6.0183992,0.23716165
54,8317769,6.268787,0.23071857
55,8318323,3.9478703,0.20477241
56,8318347,4.184569,0.18749157
57,8323183,4.870713,0.22856064
58,8323211,4.4448566,0.21672378
59,8323836,4.400762,0.18732491
60,8324002,4.614282,0.19718711
61,8325000,5.61239,0.29308146
62,8326122,3.8466296,0.21351497
63,8326877,4.96976,0.24406806
64,8328497,5.308176,0.28167498
65,8328498,5.893117,0.22566688
66,8328529,5.8251877,0.23912321
67,8329212,4.810035,0.20821534
68,8329795,5.4433475,0.23356795
69,8331121,4.624367,0.22290048
