,Zeolite,"Heat of adsorption (92.4 K, 2.71 bar)","Heat of adsorption error (92.4 K, 2.71 bar)"
0,8056830,3.7160375,0.1251242
1,8080784,5.754984,0.19956714
2,8087188,4.887017,0.15853842
3,8206103,5.0681305,0.21122177
4,8206155,6.265069,0.12630409
5,8206186,5.259636,0.19472535
6,8214411,6.3212,0.22036265
7,8255418,5.152648,0.16787831
8,8265201,3.88602,0.16391078
9,8265611,4.7360682,0.19384731
10,8265828,4.9738955,0.19084889
11,8267423,5.249037,0.13401839
12,8268490,5.8238797,0.11987826
13,8268700,6.463073,0.1479327
14,8274307,5.374874,0.1171908
15,8283850,6.223687,0.10857948
16,8287620,5.4839177,0.16212855
17,8287803,5.3331356,0.12812418
18,8289148,5.7974596,0.21273741
19,8289716,5.3391123,0.18802695
20,8292668,4.520703,0.15937887
21,8292962,5.3645344,0.11128844
22,8293280,6.9179635,0.05137386
23,8312155,4.9241586,0.22765552
24,8312223,4.604578,0.21600653
25,8313037,4.9890823,0.22602835
26,8313042,5.016251,0.2361205
27,8315144,5.5472035,0.10618172
28,8318459,5.374785,0.13686824
29,8319320,4.8228774,0.15743788
30,8321874,6.961851,0.40934804
31,8322959,6.0333214,0.4156316
32,8325096,5.301549,0.16201887
33,8326559,5.690023,0.12124129
34,8326730,5.354735,0.1851108
35,8326866,5.1948442,0.20653139
36,8329937,6.951534,0.44205776
37,8067418,4.986614,0.13149853
38,8078629,4.717771,0.220467
39,8084708,4.7096853,0.17690876
40,8133379,6.271873,0.13978331
41,8194023,5.080373,0.163421
42,8268600,5.51636,0.13078247
43,8286937,4.0611215,0.18951611
44,8287056,4.911911,0.23674981
45,8298667,5.488863,0.28916246
46,8301472,6.783274,0.16584
47,8307693,4.302644,0.19927774
48,8312978,4.9912643,0.214322
49,8315436,5.517773,0.21764027
50,8315703,5.1578746,0.15830421
51,8316304,5.007148,0.1591306
52,8316376,3.7013583,0.15626009
53,8317141,6.065465,0.16496958
54,8317769,6.354542,0.18931553
55,8318323,3.767434,0.17010103
56,8318347,3.9747996,0.15518889
57,8323183,4.7014403,0.21235189
58,8323211,4.246966,0.22595826
59,8323836,4.1949368,0.1747463
60,8324002,4.423921,0.18640797
61,8325000,5.5399675,0.22034478
62,8326122,3.6578193,0.14134257
63,8326877,4.7934184,0.18679021
64,8328497,5.2055187,0.23911133
65,8328498,5.8807364,0.17849101
66,8328529,5.8312645,0.1899995
67,8329212,4.632096,0.18648688
68,8329795,5.294137,0.16158599
69,8331121,4.4364643,0.22167948
