,Zeolite,"Heat of adsorption (92.4 K, 7.39 bar)","Heat of adsorption error (92.4 K, 7.39 bar)"
0,8056830,3.5952823,0.15646598
1,8080784,5.728951,0.13681826
2,8087188,4.9628863,0.08700393
3,8206103,5.103676,0.12013613
4,8206155,6.242151,0.14423305
5,8206186,5.2867737,0.113727234
6,8214411,6.3188176,0.19862536
7,8255418,5.226735,0.09341068
8,8265201,3.7836308,0.12962107
9,8265611,4.8001175,0.12157473
10,8265828,5.046673,0.080682874
11,8267423,5.2848005,0.096366614
12,8268490,5.814389,0.1452348
13,8268700,6.498021,0.13072988
14,8274307,5.3658032,0.11755641
15,8283850,6.2528048,0.13296856
16,8287620,5.4985614,0.10394304
17,8287803,5.291956,0.08095655
18,8289148,5.789499,0.12867768
19,8289716,5.395422,0.11333754
20,8292668,4.592266,0.07093008
21,8292962,5.3641586,0.10527397
22,8293280,6.9360113,0.21163242
23,8312155,4.992672,0.13412529
24,8312223,4.6381392,0.14989193
25,8313037,5.0762296,0.11048987
26,8313042,5.096161,0.11670047
27,8315144,5.540759,0.10970087
28,8318459,5.416438,0.1232542
29,8319320,4.894306,0.083150335
30,8321874,6.7036424,0.28374743
31,8322959,5.890595,0.3815996
32,8325096,5.343282,0.08893489
33,8326559,5.595854,0.17458607
34,8326730,5.421868,0.120641336
35,8326866,5.240319,0.10867232
36,8329937,6.680224,0.30886272
37,8067418,5.0122437,0.08581855
38,8078629,4.7618065,0.14348711
39,8084708,4.7869644,0.08714918
40,8133379,6.1865005,0.15924363
41,8194023,5.1294146,0.08126714
42,8268600,5.460119,0.15495881
43,8286937,3.9799309,0.14761388
44,8287056,4.998992,0.12445168
45,8298667,5.566333,0.16820534
46,8301472,6.700404,0.19698133
47,8307693,4.277251,0.14687994
48,8312978,5.077335,0.10219915
49,8315436,5.59654,0.12275358
50,8315703,5.210379,0.0875408
51,8316304,5.0712333,0.07447357
52,8316376,3.5810146,0.1658793
53,8317141,6.046896,0.13574895
54,8317769,6.2803774,0.20623274
55,8318323,3.644752,0.17783403
56,8318347,3.8872254,0.111018285
57,8323183,4.777731,0.097972274
58,8323211,4.2145395,0.1699287
59,8323836,4.1785054,0.10262863
60,8324002,4.452041,0.11806168
61,8325000,5.6258497,0.11977996
62,8326122,3.5402513,0.15563561
63,8326877,4.8791275,0.06754026
64,8328497,5.234571,0.14621337
65,8328498,5.919659,0.13496844
66,8328529,5.7800717,0.11125033
67,8329212,4.7182183,0.108306125
68,8329795,5.3656507,0.0780591
69,8331121,4.4644976,0.16336451
