,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
0,8056830,1.0,92.4,-2.3693400921037275,0.012862416164338253,-3.1379002067449537,0.012002064676749358,-0.768560114641226,0.0008603514875889506,-1.0032802897840924,0.003588542556329344,-3.017174656778459,0.05433942268440739
1,8067418,1.0,92.4,-4.617235674355475,0.0027029254276813575,-5.38590419040518,0.003931417623146416,-0.7686685160497044,0.001228492195464781,-2.074386586547158,0.00884474720723305,-5.238183149898883,0.024851613308061182
2,8078629,1.0,92.4,-3.629084360628955,0.006776645841978457,-4.398692579625413,0.007280894518828074,-0.7696082189964577,0.0005042486768493393,-1.775216127635527,0.002437335848982758,-4.417569531371699,0.036351036074286025
3,8080784,1.0,92.4,-4.6142933282569185,0.0022974853874884182,-5.384438618589931,0.002709899305629815,-0.770145290333011,0.0004124139181413966,-2.046745069783342,0.0005577370866927112,-5.424648415564121,0.004617969924120224
4,8084708,1.0,92.4,-3.7865899274102737,0.0006776113863002919,-4.555208282981429,3.5345968330435795e-05,-0.7686183555711559,0.0007129573546307832,-1.9123228749290302,0.006496872945833565,-4.533838887927537,0.01363230062839449
5,8087188,1.0,92.4,-3.8546532073297426,0.00015834860311803034,-4.6250731069898015,0.0005611345518747868,-0.7704198996600585,0.0004027859487566454,-1.733702891635275,0.0076933690153137,-4.644050184968668,0.011435026640679968
6,8133379,1.0,92.4,-5.1796695000780915,0.00404891563805565,-5.948451556671211,0.004110076394489237,-0.7687820565931194,6.116075643375352e-05,-2.375526731322881,0.007531810517013904,-5.968001722840387,0.022068315070944422
7,8194023,1.0,92.4,-4.537940478987867,0.028039036766257297,-5.307140824654786,0.027805950312733252,-0.7692003456669189,0.0002330864535239341,-2.018348519372188,0.021979142846086153,-5.034163248253976,0.014351305092470845
8,8206103,1.0,92.4,-6.627428468534561,0.0001503972636478501,-7.3978372959517245,0.0005747370078750258,-0.7704088274171639,0.00042433974422745324,-2.1989961355899865,0.010385102118128486,-4.501000693693015,0.09926343172276741
9,8206155,1.0,92.4,-5.50326253148476,0.0007400560582282445,-6.272481046084068,0.00046994407623213164,-0.7692185145993081,0.001210000134460154,-2.3317992256177806,0.0012283396920957923,-6.1410775385951055,0.05384806820760524
10,8206186,1.0,92.4,-5.716595559265624,0.025512301334178478,-6.485773316643652,0.025289922491262384,-0.7691777573780287,0.0002223788429159268,-2.1056980625365904,0.015509192047057585,-5.42643502845257,0.037295826021265466
11,8214411,1.0,92.4,-5.390144106616283,0.006269341840617226,-6.158692110854006,0.006404013070812731,-0.7685480042377234,0.00013467123019572647,-2.432810619583482,0.0020353917848825454,-6.110022691073013,0.012087348025318523
12,8255418,1.0,92.4,-4.291287372990936,0.002745944830331748,-5.060812487394772,0.0025011002409893734,-0.7695251144038349,0.000244844589342208,-2.10137849423938,0.0014910513310706364,-5.098607601451635,0.021790801599042897
13,8265201,1.0,92.4,-3.2489822913472706,0.00456341304390917,-4.018552025100699,0.003593355704449408,-0.769569733753428,0.0009700573394597622,-1.4427093078648627,0.01842197086345687,-3.946111588460351,0.03916634901720717
14,8265611,1.0,92.4,-7.515388916564161,0.043515026849005434,-8.285446511816636,0.04343389694343536,-0.7700575952524749,8.112990556990995e-05,-2.463857225245392,0.012285760424819658,-5.3039278677436545,0.4016103712295611
15,8265828,1.0,92.4,-5.29905595393456,0.08075430299151787,-6.06894193917616,0.08095642117088353,-0.7698859852415997,0.0002021181793654403,-1.9102192462952359,0.0014087963783716573,-4.785551447186993,0.024252066548193785
16,8267423,1.0,92.4,-4.278616599202525,0.008219868379145456,-5.0480037255156915,0.007567474637569571,-0.7693871263131674,0.0006523937415757741,-1.8681802937520904,0.008168105770732792,-5.094143846930477,0.01370117378363922
17,8268490,1.0,92.4,-5.270398155145961,0.029601689290355893,-6.039964557700921,0.02913987718667599,-0.7695664025549603,0.0004618121036800149,-2.076163366031776,0.01563893625931012,-5.872729821057279,0.40144265596240913
18,8268600,1.0,92.4,-4.415005419952547,0.0007394336043766714,-5.184502100293528,0.0002421901763800527,-0.7694966803409811,0.0004972434279965632,-2.000037030219501,0.006904549760507694,-5.213797846666818,0.03535412767767676
19,8268700,1.0,92.4,-5.628063784531406,0.024300306081578515,-6.3974117711685805,0.024346880197721354,-0.7693479866371751,4.657411614300555e-05,-2.2626777147094916,0.014634680261172317,-6.347636550100022,0.024775588269742688
20,8274307,1.0,92.4,-4.526972987776262,0.014965184404962528,-5.295940632226692,0.015130588331201178,-0.7689676444504294,0.00016540392623870526,-1.8862293060260025,0.012398467973172567,-5.255050677517324,0.05013454819751484
21,8283850,1.0,92.4,-5.373863222792393,0.06594945313539258,-6.143095407018112,0.06479651939053488,-0.7692321842257202,0.0011529337448577537,-2.2212866324550586,0.04145159558597067,-5.484661073605732,0.10971830880470712
22,8286937,1.0,92.4,-3.2720748857173763,0.011371062798376297,-4.0412943598587265,0.010992217903928125,-0.7692194741413507,0.00037884489444850455,-1.5888067746288792,0.004499896986247198,-4.0550058380647975,0.07373376093909423
23,8287056,1.0,92.4,-3.9519109539365402,0.001770715002923362,-4.720841058371636,0.0006183680732503305,-0.7689301044350951,0.001152346929672865,-1.8726667865868691,0.0007692902439447868,-4.645398964708541,0.05226176561721285
24,8287620,1.0,92.4,-4.832221008831112,0.005006821964622432,-5.602333248114585,0.00506264452752303,-0.7701122392834729,5.582256290065368e-05,-2.109834088337575,0.0007919293720808351,-5.288873615147343,0.09401088975438521
25,8287803,1.0,92.4,-4.708320751791019,0.0057324344716152,-5.477604917748973,0.006908353787600685,-0.7692841659579545,0.0011759193159857073,-2.11021316088722,0.016903407605359133,-5.173426637637332,0.0055164031443699635
26,8289148,1.0,92.4,-4.771772515068917,0.004348477739410939,-5.5412426200578855,0.005711882495191389,-0.769470104988969,0.0013634047557805062,-2.2036177605908147,0.0019229464799292995,-5.51979319285323,0.012157214542016792
27,8289716,1.0,92.4,-4.827176026995756,0.00354220814688766,-5.596152557447327,0.003539574010979596,-0.7689765304515713,2.634135908285984e-06,-2.1247020029405492,0.002527724447182189,-5.387178081787221,0.2729107632003358
28,8292668,1.0,92.4,-4.532951007143446,0.019867703479108823,-5.302831192414592,0.019330247738406747,-0.7698801852711472,0.0005374557407020752,-1.969562575208867,0.0033565539295412616,-4.770088011235756,0.014965384874061627
29,8292962,1.0,92.4,-4.4346295030318945,0.002942612500814068,-5.204292494428106,0.003214309638269963,-0.7696629913962115,0.0002716971374560062,-2.068192531332424,0.018276772256483165,-5.234870549138847,0.0079989385839494
30,8293280,1.0,92.4,-6.567562737315804,0.1148830055719503,-7.337576747994877,0.11396333829988725,-0.7700140106790743,0.0009196672720631627,-2.3260463729508136,0.035525563885438594,-5.7519845124501625,0.11477737683278733
31,8298667,1.0,92.4,-4.574474296073435,0.004168243586254672,-5.344812100423845,0.004364913170079809,-0.770337804350411,0.00019666958382486,-2.1460926896171797,0.0036176052114180735,-5.300436971029772,0.0035829483598233125
32,8301472,1.0,92.4,-5.750141457743512,0.003081030313445421,-6.5191756216865535,0.0034348235752497125,-0.7690341639430429,0.0003537932618043471,-2.546336417651357,0.004211552162104004,-6.495347895868136,0.05096100690345384
33,8307693,1.0,92.4,-5.281243440825283,0.0067112103538580214,-6.050053519429832,0.006096104408680247,-0.768810078604549,0.0006151059451777741,-1.8752174454063808,0.00631335498816632,-4.206660411751322,0.01190724465432691
34,8312155,1.0,92.4,-5.096716430017468,0.11130676817739982,-5.866392204002818,0.11187843828905297,-0.7696757739853499,0.0005716701116529888,-1.9374563155628117,0.025953504263745986,-4.939721475872304,0.35790765790956725
35,8312223,1.0,92.4,-5.663345951123471,0.009923363735161228,-6.432082812581774,0.01122952641726327,-0.7687368614583037,0.0013061626821022077,-1.8656400263548198,0.0075854139916813335,-4.660973820209794,0.3590371424250698
