,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
0,ABW-0,1.0,77.0,151.8313097350429,0.6376328917944534,7.69749281010404,0.03232649845831395,1.7545084774107305
1,ABW-0,1.0,92.4,51.58455336330516,0.30567375300592303,2.6152163827038692,0.015496945393586056,1.7545084774107305
2,ABW-0,1.0,110.88,14.26098166875667,0.019444804789899628,0.722998464887404,0.0009858061906027507,1.7545084774107305
3,ABW-0,1.0,133.06,4.081719262445475,0.01211797182551555,0.2069336339808024,0.0006143528707137311,1.7545084774107305
4,ABW-0,1.0,159.67,1.4992476367552778,0.02783125450271806,0.07600835377517443,0.0014109796049622243,1.7545084774107305
5,ABW-0,1.0,191.6,0.6654281001021594,0.04596268488077587,0.03373565060537292,0.002330200780196477,1.7545084774107305
6,ABW-0,1.0,229.92,0.3264126086235515,0.0022689160588063306,0.016548356938971918,0.00011502874525596208,1.7545084774107305
7,ABW-0,1.0,275.9,0.1560822638690483,0.003536309928629966,0.00791300625683443,0.00017928265452910145,1.7545084774107305
8,ABW-0,2.71,77.0,210.89502601986732,0.3204320523499291,10.691885285765657,0.016245156703151218,1.7545084774107305
9,ABW-0,2.71,92.4,99.33892358534777,0.5583964989641785,5.036251425322482,0.0283093983939466,1.7545084774107305
10,ABW-0,2.71,110.88,32.20477470233057,0.8646697421138754,1.6327068649727603,0.043836736537746564,1.7545084774107305
11,ABW-0,2.71,133.06,10.840996109497613,0.4033727812801171,0.5496131842164022,0.02045005795651608,1.7545084774107305
12,ABW-0,2.71,159.67,3.7668684017621166,0.05433885093469337,0.1909714306605879,0.002754852837066579,1.7545084774107305
13,ABW-0,2.71,191.6,1.664717781473332,0.01140195744181538,0.08439730366618708,0.000578052613671352,1.7545084774107305
14,ABW-0,2.71,229.92,0.7970552626835608,0.04589834219555061,0.040408840340433766,0.00232693875632427,1.7545084774107305
15,ABW-0,2.71,275.9,0.4437117984384811,0.012906314291094623,0.022495151916945136,0.0006543199925892137,1.7545084774107305
16,ABW-0,7.39,77.0,252.01777964201654,1.531343880201149,12.77671285453631,0.07763555835891332,1.7545084774107305
17,ABW-0,7.39,92.4,159.19040591624054,0.10954877338338065,8.070581799736583,0.005553866965554245,1.7545084774107305
18,ABW-0,7.39,110.88,71.45758706399793,0.08328639624842538,3.6227327789793575,0.004222425779112965,1.7545084774107305
19,ABW-0,7.39,133.06,26.713578579194184,0.07975862785598231,1.3543160459086614,0.004043576160520263,1.7545084774107305
20,ABW-0,7.39,159.67,10.227431688812725,0.4390219853086821,0.5185069010327861,0.02225738934405845,1.7545084774107305
21,ABW-0,7.39,191.6,4.556571887778015,0.07305774185161562,0.23100755309363102,0.003703856889640295,1.7545084774107305
22,ABW-0,7.39,229.92,2.1893230320138626,0.017277628052144278,0.11099356468261004,0.0008759353913176259,1.7545084774107305
23,ABW-0,7.39,275.9,1.2402623435004845,0.018252570821495673,0.0628784042527055,0.0009253627127998774,1.7545084774107305
24,ABW-0,20.09,77.0,273.8218474288992,0.3087380872794938,13.882128169160403,0.015652299984676186,1.7545084774107305
25,ABW-0,20.09,92.4,214.69625391949927,0.2188744914156331,10.884598662723576,0.011096425545739485,1.7545084774107305
26,ABW-0,20.09,110.88,127.6455226490982,0.9656743284048019,6.471329889388628,0.04895743317218056,1.7545084774107305
27,ABW-0,20.09,133.06,60.78220100280814,0.07008240256679343,3.081515637439232,0.0035530141366369406,1.7545084774107305
28,ABW-0,20.09,159.67,25.615653981351578,0.3412292359724738,1.2986538329390311,0.017299525342164564,1.7545084774107305
29,ABW-0,20.09,191.6,12.307267549829168,0.2910345055774446,0.6239497218469412,0.01475476973809911,1.7545084774107305
30,ABW-0,20.09,229.92,6.252168936284873,0.031694700078763294,0.31697036348163093,0.0016068472728084215,1.7545084774107305
31,ABW-0,20.09,275.9,3.3516009591747067,0.062248044993889806,0.16991834115510285,0.0031558305043910854,1.7545084774107305
32,ABW-0,30.0,77.0,278.26377916306103,0.35731545249404917,14.107323734201307,0.018115058951356795,1.7545084774107305
33,ABW-0,30.0,92.4,232.9462118889734,0.9397236489085401,11.80982891002813,0.04764179432806878,1.7545084774107305
34,ABW-0,30.0,110.88,150.54857498629804,0.31032780484729017,7.632461154097352,0.01573289495266772,1.7545084774107305
35,ABW-0,30.0,133.06,79.12461892187073,1.6003007834003924,4.0114333882529225,0.08113151230615578,1.7545084774107305
36,ABW-0,30.0,159.67,38.3872477895825,0.4734650330311858,1.9461438116791467,0.02400357142379356,1.7545084774107305
37,ABW-0,30.0,191.6,17.661092449366507,0.2754053056046306,0.8953761406973153,0.0139624058005927,1.7545084774107305
38,ABW-0,30.0,229.92,8.983529874418,0.01509744198556806,0.4554439841055216,0.0007654050494438369,1.7545084774107305
39,ABW-0,30.0,275.9,5.01783802295826,0.012505874546796747,0.25439266888622003,0.0006340186327577548,1.7545084774107305
40,ABW-0,54.6,77.0,281.9281040881616,0.26204904229001613,14.293096450079663,0.013285274443341604,1.7545084774107305
41,ABW-0,54.6,92.4,255.08878435370255,1.7141594072816417,12.93240562126045,0.08690387862653914,1.7545084774107305
42,ABW-0,54.6,110.88,187.23415309288063,0.05333581572628532,9.492334287001997,0.0027040012945324624,1.7545084774107305
43,ABW-0,54.6,133.06,113.50355771314204,0.798106771615771,5.754365294897342,0.04046214938755701,1.7545084774107305
44,ABW-0,54.6,159.67,58.47242079519452,0.25526894625668106,2.9644151752746564,0.012941539408983495,1.7545084774107305
