,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,LTA-K-FF-5,135.78750000000142,4.247775152947777,9.503217937777595,0.8153336613813382,4.625499519841176,0.6731506264073737
1,LTA-Ca-FF-5,137.18750000000145,4.427312248983634,9.838623946184113,0.8801962350140592,5.010396588736326,0.7327754079443595
2,LTA-Ca-FF-6,110.78750000000106,2.805992471479604,7.803893129273485,0.15097198169600753,1.8276591986584614,0.1948950419430692
3,LTA-K-FF-6,113.75000000000111,2.9043071462915644,7.692471800495579,0.3857760146295467,1.871768121803548,0.2782983736872161
4,LTA-Li-FF-5,135.91250000000142,2.6820875731415255,10.544483710843041,0.6488278999247815,5.674222438493041,0.5797233367537876
5,LTA-Li-FF-6,123.55000000000126,1.86547581061779,11.780908197156863,0.5310806822918452,6.424204526561515,0.5157700697489858
6,LTA-Mg-FF-5,136.26250000000144,2.389004761401734,10.661975300937382,0.6561845050598892,5.804620552233063,0.586149606129777
7,LTA-Mg-FF-6,106.93750000000104,4.352280293133761,9.66564954413543,0.184001941281135,3.4675071690712076,0.36303573887521223
